-0.0697523,-0.0181717,-0.0201984,-0.0463429,-0.100223,-0.0496184,-0.0553423,-0.133174,-0.0984701,-0.116496,-0.121498,-0.190261,-0.139521,-0.156494,-0.129244,-0.148641,-0.0698223,-0.0377795,-0.0188921,-0.0296318	-0.244127,-0.222948,-0.231411,-0.234041,-0.177551,-0.216038,-0.256482,-0.271983,-0.323494,-0.18982,-0.274079,-0.248871,-0.162951,-0.163376,-0.186488,-0.251483,-0.242822,-0.275239,-0.203093,-0.14965	0.177396,0.205609,0.212205,0.189756,0.0787285,0.168223,0.204035,0.144026,0.232428,0.0749821,0.157837,0.0615231,0.0239751,0.00706281,0.0586573,0.106836,0.175983,0.239955,0.184911,0.120553
-0.10731,-0.0831049,-0.0714617,-0.105723,-0.154561,-0.120309,-0.129174,-0.1436,-0.208538,-0.178198,-0.342557,-0.36926,-0.176938,-0.331627,-0.208518,-0.103944,-0.0893054,-0.067642,-0.0725462,-0.0831636	-0.0332246,-0.0414111,-0.0489966,-0.054902,-0.0136488,-0.0163441,-0.0132818,-0.016183,-0.0079598,0.00539517,-0.017148,-0.00238173,0.038093,-0.0548514,-0.0274481,-0.0159563,0.0440425,-0.0225821,-0.0355352,-0.033922	-0.0743508,-0.0418378,-0.0225441,-0.0511178,-0.14121,-0.104169,-0.116091,-0.127714,-0.200912,-0.183417,-0.327332,-0.367201,-0.213592,-0.281903,-0.182112,-0.0881339,-0.132825,-0.0451288,-0.0371067,-0.0493809
-0.0762651,-0.0255078,-0.0321236,-0.0511081,-0.109835,-0.0645487,-0.0617036,-0.124314,-0.138652,-0.123343,-0.134897,-0.202092,-0.191293,-0.158196,-0.135014,-0.171785,-0.0697065,-0.0683699,-0.0249072,-0.0357501	-0.266116,-0.231498,-0.236415,-0.240053,-0.188121,-0.224328,-0.263911,-0.268091,-0.350176,-0.204831,-0.293651,-0.26171,-0.212598,-0.212755,-0.217528,-0.271597,-0.270848,-0.284176,-0.209346,-0.147601	0.193784,0.207214,0.205855,0.191292,0.0799375,0.162127,0.205555,0.148735,0.222318,0.0835998,0.165303,0.0629476,0.0222082,0.0564588,0.0850106,0.104697,0.205012,0.220082,0.185406,0.112444
-0.241197,-0.232137,-0.221906,-0.221977,-0.196184,-0.244185,-0.300865,-0.271281,-0.358983,-0.179289,-0.401323,-0.351306,-0.230428,-0.306498,-0.22608,-0.1582,-0.263686,-0.279591,-0.194608,-0.158786	0.00686408,0.0105577,0.0111363,0.0176512,0.0235686,0.0184306,0.000775776,-0.00993579,0.0572211,0.09488,0.0466855,0.0614333,-0.00641485,-0.0151912,0.0135471,0.045094,0.032491,-0.00172166,0.0255991,0.00417367	-0.247651,-0.242101,-0.232468,-0.238693,-0.218741,-0.261439,-0.301571,-0.262051,-0.407827,-0.269583,-0.439769,-0.40402,-0.224345,-0.29267,-0.238895,-0.201854,-0.293661,-0.278004,-0.219116,-0.162851
0.233909,0.195916,0.174795,0.204433,0.191759,0.199468,0.265183,0.345148,0.367423,0.329036,0.430522,0.520677,0.446054,0.405332,0.279864,0.306277,0.293261,0.217172,0.172436,0.131351	0.208691,0.192868,0.180859,0.201611,0.189356,0.206243,0.261821,0.337327,0.374743,0.31654,0.417265,0.51832,0.446986,0.341222,0.244859,0.306828,0.251941,0.240684,0.171135,0.141013	0.0265123,0.00316719,-0.00626222,0.00294334,0.0024936,-0.0070656,0.00361308,0.00885173,-0.00848928,0.0139491,0.0161595,0.00322761,-0.00116395,0.0743993,0.0375809,-0.000608669,0.0446166,-0.0248078,0.00134059,-0.00984418
0.00755134,0.0183787,0.0182608,0.0218012,0.0271104,0.0210139,0.00753459,0.0157067,0.0513064,0.0778643,0.0627869,0.0593883,-0.0444944,0.0252046,0.0387366,0.00499729,0.0316418,-0.00128484,0.0257497,0.00513464	-0.257173,-0.228487,-0.211099,-0.220857,-0.194753,-0.239044,-0.298456,-0.255444,-0.357561,-0.200203,-0.397891,-0.355201,-0.258441,-0.316741,-0.231401,-0.191261,-0.290211,-0.264206,-0.19598,-0.151087	0.264211,0.245833,0.228479,0.241495,0.220699,0.258758,0.305304,0.270068,0.401502,0.273799,0.449449,0.406025,0.216435,0.339237,0.267737,0.196071,0.318924,0.263011,0.220616,0.156101
-0.147886,-0.163354,-0.164312,-0.132356,-0.0488158,-0.140996,-0.194007,-0.139048,-0.190997,-0.00642479,-0.119337,-0.0188708,-0.0591361,0.0218432,-0.0270051,-0.0613801,-0.186248,-0.226067,-0.135197,-0.0876361	0.0750012,0.0274653,0.0302061,0.0611681,0.120645,0.066091,0.0554959,0.122152,0.150275,0.202309,0.161859,0.237631,0.141577,0.141803,0.139214,0.196777,0.104355,0.0359159,0.0434137,0.0328909	-0.220442,-0.189967,-0.193558,-0.19197,-0.168468,-0.205175,-0.246845,-0.256837,-0.33175,-0.208462,-0.275867,-0.255357,-0.199047,-0.120333,-0.165597,-0.255076,-0.285063,-0.259873,-0.177568,-0.120181
0.281799,0.215284,0.199387,0.24136,0.273192,0.245762,0.305245,0.410933,0.447009,0.406323,0.494228,0.595675,0.551227,0.486515,0.367883,0.415478,0.341994,0.266432,0.1918,0.161393	0.25087,0.205456,0.194584,0.234124,0.260905,0.23865,0.295967,0.410457,0.418036,0.386653,0.468997,0.583038,0.49761,0.426648,0.329003,0.392641,0.300404,0.262377,0.184958,0.165552	0.0332816,0.0102823,0.00499721,0.00766946,0.0132299,0.00755538,0.0101998,0.000571926,0.0356317,0.0233362,0.0328437,0.0193617,0.0738833,0.0755487,0.0442341,0.027289,0.0463525,0.00435935,0.00709368,-0.00427286
0.0821763,0.0421318,0.0485178,0.0697325,0.133022,0.0827096,0.0681204,0.137215,0.184935,0.193856,0.187859,0.248794,0.161113,0.17517,0.165555,0.179894,0.103097,0.0665623,0.0491079,0.0396384	-0.164857,-0.15962,-0.152672,-0.130988,-0.0474503,-0.132707,-0.190783,-0.125049,-0.184752,-0.0288342,-0.116805,-0.0222073,-0.0848884,-0.00074115,-0.035041,-0.091184,-0.215049,-0.205088,-0.135539,-0.0786428	0.243732,0.200404,0.199711,0.198903,0.17934,0.213078,0.255582,0.257839,0.357473,0.221452,0.298123,0.269513,0.242682,0.175888,0.199439,0.266703,0.311246,0.267992,0.183426,0.117914
-0.228832,-0.182364,-0.161407,-0.190088,-0.171547,-0.184951,-0.258432,-0.330103,-0.344158,-0.287426,-0.402363,-0.500044,-0.481104,-0.38927,-0.25158,-0.311891,-0.276089,-0.219094,-0.154235,-0.126653	-0.0257901,0.00420406,0.0129174,0.00104299,0.000970329,0.00920466,0.00263619,0.018389,0.0031538,-0.0317991,-7.41307e-06,-0.00588797,-0.046387,-0.032811,-0.0120016,-0.0434977,-0.0455253,0.0253895,-0.00120314,0.0104531	-0.204248,-0.186425,-0.173962,-0.191093,-0.172489,-0.193826,-0.260891,-0.34639,-0.346935,-0.257985,-0.402357,-0.495616,-0.44464,-0.361071,-0.240304,-0.272085,-0.233498,-0.243131,-0.153061,-0.136925
