P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
EC	CY	KP	0.116106	3.69625	0.000109405	0.0705329	26662.6	12580.4	9962.99
PNG	CY	EC	0.00728236	0.550033	0.291148	0.00449132	26472.9	8782.12	8655.13
EC	CY	TE	0.136597	4.24535	1.09127e-05	0.0871949	27130.5	12647.7	9607.68
CY	PNG	KP	0.0805658	10.1966	0	0.0379675	39262.2	8803.58	7490.81
TE	KP	CY	0.0224236	3.50724	0.000226391	0.0115514	38440	9133.14	8732.53
CY	PNG	TE	0.0874774	10.6255	0	0.0445557	39554.9	8798.48	7382.97
EC	PNG	KP	0.171092	5.55888	1.35758e-08	0.106068	26089.2	13448.1	9518.69
TE	KP	EC	0.0462943	6.62401	1.74796e-11	0.0180325	41226.8	9302.49	8479.29
EC	PNG	TE	0.195674	6.35953	1.01189e-10	0.127979	26549.7	13611.2	9156.18
TE	KP	PNG	0.0164074	2.55614	0.0052921	0.00746267	37203.9	9214.14	8916.66
