-0.102689,-0.100201,-0.0770594,0.034783,-0.00683904,-0.174963,0.0983076,0.041957,0.0235194,-0.151412,-0.414733,-0.111613,0.0114428,0.0352133,-0.410765,-0.257623,-0.119376,-0.13393,-0.0771427,0.00901269	-0.324793,-0.338535,-0.342407,-0.456679,-0.549844,-0.444443,-0.522745,-0.604572,-0.502989,-0.564481,-0.352687,-0.554698,-0.428858,-0.412514,-0.249027,-0.452404,-0.627441,-0.370989,-0.477109,-0.408601	0.229768,0.246703,0.272539,0.483777,0.545055,0.292202,0.590697,0.630535,0.520353,0.451673,-0.0726761,0.472327,0.43815,0.441316,-0.180168,0.220478,0.549201,0.249453,0.415249,0.416082
-0.315161,-0.322007,-0.412722,-0.4985,-0.652981,-0.329715,-0.515959,-0.47835,-0.28713,-0.491297,-0.606222,-0.631189,-0.363147,-0.340489,-0.633285,-0.72332,-0.601845,-0.571287,-0.689014,-0.61073	-0.056336,-0.0106284,-0.00244855,-0.00419027,0.00290482,-0.0815079,-0.0171386,0.00816744,0.0283682,-0.0307432,-0.0289545,-0.0699357,0.199289,0.00218295,0.0136985,-0.00957423,-0.0729054,0.0441852,-0.0453024,-0.0271771	-0.263503,-0.312448,-0.410688,-0.495344,-0.654644,-0.255062,-0.503271,-0.484624,-0.312949,-0.467616,-0.587582,-0.587173,-0.524479,-0.342418,-0.641419,-0.718723,-0.553213,-0.600319,-0.664452,-0.593402
-0.113331,-0.106094,-0.10879,0.0527311,-0.00925223,-0.181084,0.0753312,0.0275826,0.00252005,-0.19082,-0.475016,-0.120923,-0.0176165,-0.00645488,-0.414988,-0.270673,-0.137182,-0.130858,-0.112431,-0.0274862	-0.346051,-0.355965,-0.369575,-0.449815,-0.554419,-0.453473,-0.545181,-0.616897,-0.524941,-0.599978,-0.398604,-0.574106,-0.447943,-0.442984,-0.279315,-0.471963,-0.646565,-0.387092,-0.514353,-0.43631	0.242219,0.259678,0.27171,0.490903,0.547977,0.296759,0.596033,0.633697,0.526764,0.462058,-0.0942595,0.48699,0.43375,0.437781,-0.15346,0.23077,0.558961,0.269905,0.426591,0.413786
-0.394372,-0.427196,-0.517523,-0.691997,-0.770626,-0.418784,-0.726436,-0.71036,-0.613566,-0.686351,-0.522734,-0.744395,-0.638139,-0.561385,-0.515916,-0.697378,-0.762451,-0.6691,-0.763202,-0.7175	0.0896116,0.0736053,0.0801972,0.0358957,0.100039,0.123008,0.0458517,0.119011,0.0582005,0.10235,0.0511485,0.0682096,0.0873601,0.111779,0.0696312,0.176573,0.0684459,0.0384194,0.0402679,0.0512883	-0.467463,-0.485534,-0.573901,-0.71025,-0.808347,-0.51525,-0.747393,-0.764721,-0.648605,-0.736933,-0.558938,-0.773339,-0.687189,-0.633417,-0.565242,-0.778133,-0.789686,-0.689787,-0.779513,-0.741501
0.448469,0.518865,0.551961,0.663783,0.700211,0.529829,0.663082,0.743673,0.573277,0.676405,0.486174,0.736409,0.667548,0.648234,0.527367,0.696987,0.703635,0.677797,0.675827,0.644617	0.428376,0.501512,0.54496,0.665076,0.700808,0.514971,0.652994,0.738623,0.549066,0.636113,0.526286,0.710209,0.662189,0.64179,0.487979,0.67989,0.680274,0.650473,0.639048,0.643083	0.0248707,0.0234562,0.0100129,-0.00231418,-0.00117211,0.0204328,0.0177909,0.0112065,0.0353327,0.0707209,-0.0539043,0.0549264,0.00960478,0.0110355,0.053037,0.0324963,0.0448093,0.0488696,0.0647383,0.00261942
0.125999,0.0745608,0.0927264,0.0500787,0.113545,0.124677,0.0670931,0.136512,0.0576226,0.107403,0.041144,0.0830793,0.0770336,0.112762,0.0641365,0.18081,0.0785642,0.0466338,0.0468936,0.0566692	-0.385509,-0.438809,-0.511451,-0.689994,-0.768895,-0.421182,-0.725739,-0.70989,-0.620971,-0.693151,-0.516116,-0.74555,-0.641997,-0.565172,-0.534573,-0.701029,-0.766827,-0.673768,-0.766581,-0.71916	0.487813,0.497105,0.576822,0.715354,0.811585,0.518625,0.75602,0.771625,0.655151,0.745085,0.545673,0.780298,0.685146,0.637318,0.578863,0.782637,0.797355,0.698456,0.785247,0.745449
-0.138649,-0.193579,-0.227991,-0.467709,-0.512874,-0.173582,-0.56703,-0.584125,-0.502326,-0.403243,0.107422,-0.431028,-0.467546,-0.390056,0.20424,-0.153128,-0.51447,-0.250149,-0.39193,-0.386001	0.171637,0.160042,0.139149,-0.00888633,0.0710128,0.260314,-0.0616949,0.06166,0.0268129,0.209557,0.440837,0.151991,0.0600337,0.0594052,0.446418,0.342168,0.162167,0.158618,0.100416,0.0236763	-0.303073,-0.342995,-0.355851,-0.460738,-0.563368,-0.415137,-0.523654,-0.623334,-0.522107,-0.565052,-0.349989,-0.547173,-0.513176,-0.439283,-0.266474,-0.470636,-0.624533,-0.393167,-0.473703,-0.405967
0.496131,0.55769,0.588567,0.644716,0.690678,0.574161,0.64814,0.733777,0.570768,0.724243,0.701218,0.742788,0.668208,0.657389,0.676675,0.736421,0.713023,0.70143,0.69283,0.647258	0.468311,0.537485,0.556097,0.657955,0.689913,0.554247,0.623252,0.721861,0.533023,0.659791,0.663981,0.714032,0.643668,0.620391,0.646908,0.713924,0.683017,0.679652,0.634422,0.619484	0.0362409,0.0288535,0.0482679,-0.0229913,0.0014612,0.0292081,0.0417552,0.025337,0.0542487,0.123435,0.0696789,0.0612308,0.0430604,0.0624781,0.0529421,0.0474375,0.0584925,0.0416191,0.104214,0.0463651
0.209812,0.166646,0.180697,-0.0164983,0.0821632,0.265785,-0.0219676,0.0909671,0.0476297,0.248996,0.493942,0.170515,0.082456,0.102557,0.448718,0.356162,0.185884,0.161054,0.139384,0.062947	-0.130126,-0.206672,-0.220439,-0.468117,-0.510342,-0.178224,-0.563336,-0.580794,-0.509175,-0.411912,0.123362,-0.440492,-0.467078,-0.386374,0.175024,-0.16259,-0.521651,-0.267136,-0.401663,-0.380838	0.330904,0.360889,0.385769,0.455134,0.56866,0.423928,0.548152,0.638051,0.543621,0.599428,0.394626,0.56832,0.529154,0.470296,0.297021,0.490356,0.644992,0.410528,0.512362,0.433395
-0.391714,-0.496207,-0.522965,-0.655044,-0.689184,-0.492328,-0.653066,-0.728826,-0.561996,-0.656558,-0.480686,-0.728229,-0.654066,-0.627183,-0.510027,-0.673364,-0.695188,-0.669195,-0.669155,-0.635208	0.00950517,-0.0236811,0.00285297,0.0144043,0.0110457,-0.0171569,-0.00182355,0.00301143,-0.0357853,-0.0643981,0.0447553,-0.0426177,-0.0185931,-0.0108058,-0.0582549,-0.0291777,-0.0381264,-0.0412153,-0.0593962,0.00119385	-0.399731,-0.478145,-0.525034,-0.663191,-0.69494,-0.479219,-0.652019,-0.730234,-0.53701,-0.618303,-0.514376,-0.707571,-0.643296,-0.620583,-0.465606,-0.657096,-0.674951,-0.645791,-0.634997,-0.63592
