-0.0561382,-0.0390985,-0.0179657,-0.0298874,-0.0139306,-0.0300289,-0.0123311,-0.027355,-0.0408683,0.010149,-0.0591849,-0.0537887,-0.0754909,-0.137305,-0.0652065,-0.0521858,-0.0462748,-0.114925,-0.161739,-0.0751791	-0.20179,-0.151613,-0.189174,-0.160428,-0.227049,-0.23734,-0.194984,-0.214671,-0.203425,-0.23381,-0.259238,-0.202313,-0.416566,-0.361289,-0.344565,-0.361197,-0.264669,-0.232242,-0.287438,-0.420481	0.147321,0.113186,0.171793,0.131169,0.213795,0.208799,0.183094,0.188423,0.163919,0.243382,0.20317,0.150159,0.352149,0.235675,0.28578,0.314948,0.221102,0.120534,0.131828,0.356574
-0.085955,-0.0904005,-0.0514696,-0.0782471,-0.0616908,-0.0572294,-0.0423209,-0.106017,-0.131723,-0.0783739,-0.15737,-0.0929981,-0.188464,-0.176266,-0.0879033,-0.187334,-0.195651,-0.285675,-0.341943,-0.340793	-0.00869531,-0.026804,-0.0293521,-0.0466342,-0.064294,-0.0507349,-0.0137819,-0.0715092,-0.0226785,-0.0430766,-0.0985395,-0.0287591,-0.0789109,-0.0651477,-0.0644494,-0.0527696,-0.0479619,0.040103,-0.0366091,0.083057	-0.0773175,-0.0637509,-0.022151,-0.0317287,0.00261361,-0.00651342,-0.0285557,-0.0347712,-0.109371,-0.0354169,-0.0597569,-0.0644112,-0.111207,-0.112409,-0.0235876,-0.135908,-0.149089,-0.322088,-0.309205,-0.412183
-0.0438537,-0.0381674,-0.0205068,-0.0307809,-0.0330197,-0.0112802,-0.0179611,-0.0496248,-0.040368,-0.00838351,-0.0454445,-0.0517414,-0.0850294,-0.162101,-0.0501065,-0.0622464,-0.0797518,-0.102345,-0.187448,-0.0890927	-0.211964,-0.151893,-0.177686,-0.17924,-0.238388,-0.222313,-0.198209,-0.228138,-0.232146,-0.248349,-0.272906,-0.22046,-0.412825,-0.367511,-0.339335,-0.364896,-0.306747,-0.242383,-0.305,-0.438865	0.169688,0.114388,0.157754,0.149282,0.206998,0.211563,0.180892,0.180557,0.193592,0.240466,0.230318,0.170666,0.339721,0.218421,0.294232,0.309683,0.232687,0.1436,0.12468,0.364005
-0.201521,-0.156567,-0.179858,-0.150219,-0.214228,-0.212078,-0.202399,-0.212772,-0.251425,-0.227186,-0.253939,-0.223131,-0.421421,-0.319779,-0.335584,-0.37079,-0.321613,-0.39094,-0.359507,-0.590333	0.0186774,0.0154861,0.0111373,0.0107796,-0.00475785,0.000986866,0.0068533,0.0115019,0.0114661,0.0536089,0.012564,-0.015818,0.0390181,0.0318656,-0.0341927,0.0800726,0.0355143,0.0179101,0.102421,0.0585639	-0.219373,-0.171637,-0.190613,-0.160738,-0.209683,-0.213021,-0.208962,-0.223727,-0.262135,-0.277417,-0.265656,-0.208047,-0.45299,-0.348098,-0.30489,-0.437862,-0.353094,-0.406008,-0.445523,-0.627213
0.202496,0.152285,0.13488,0.192405,0.201764,0.157965,0.159256,0.181989,0.202689,0.223712,0.243545,0.188761,0.307122,0.24713,0.275591,0.339057,0.302786,0.30509,0.412645,0.472748	0.176047,0.151449,0.152638,0.171137,0.206052,0.160844,0.162537,0.190926,0.164343,0.225481,0.206253,0.160646,0.328025,0.27009,0.267796,0.340778,0.27664,0.276311,0.421318,0.452167	0.027426,0.000855574,-0.0181314,0.0219922,-0.0044737,-0.00295384,-0.00336832,-0.00925856,0.0396682,-0.00186331,0.0392647,0.0289942,-0.0232456,-0.0246023,0.0084167,-0.00194616,0.0285363,0.0314283,-0.0104977,0.026177
0.0147625,0.0291368,0.008778,0.00985792,0.00311359,0.00770022,0.0129955,0.0138116,0.00865268,0.058971,0.0123619,-0.00851872,0.0370515,0.0202971,-0.0248075,0.0662986,0.0633684,0.0510409,0.10841,0.0577375	-0.224334,-0.14595,-0.168526,-0.168679,-0.205105,-0.206584,-0.195775,-0.205791,-0.28222,-0.222852,-0.276345,-0.236554,-0.414534,-0.318275,-0.334364,-0.374106,-0.316381,-0.385333,-0.350408,-0.598215	0.238307,0.174345,0.177042,0.17824,0.208086,0.213944,0.208241,0.21898,0.290164,0.278168,0.287724,0.228496,0.444755,0.336399,0.312146,0.429745,0.372285,0.427957,0.442027,0.634053
-0.125474,-0.0772175,-0.137427,-0.0819336,-0.163837,-0.166961,-0.166893,-0.122584,-0.138898,-0.166279,-0.114447,-0.141181,-0.280663,-0.172599,-0.267625,-0.225969,-0.161034,-0.13579,-0.043689,-0.366331	0.0738286,0.0532948,0.0285625,0.0393189,0.00865574,0.0297649,0.0191245,0.0366364,0.0512212,0.0413033,0.066213,0.0381865,0.105698,0.164264,0.0301492,0.120275,0.0768892,0.133681,0.236265,0.122423	-0.197473,-0.129977,-0.165341,-0.120863,-0.172249,-0.195753,-0.185426,-0.158508,-0.188777,-0.206167,-0.179301,-0.178406,-0.37523,-0.327576,-0.295391,-0.337082,-0.235013,-0.264666,-0.277094,-0.467775
0.232427,0.18456,0.151467,0.217436,0.227892,0.166806,0.173195,0.219495,0.230506,0.232987,0.270974,0.227829,0.351009,0.345945,0.302184,0.369726,0.357526,0.363494,0.509964,0.509156	0.218012,0.184788,0.166997,0.195412,0.2143,0.187083,0.171259,0.207543,0.193328,0.21768,0.246723,0.20111,0.363963,0.34655,0.307628,0.362349,0.300468,0.347709,0.49404,0.477639	0.0151842,-0.000235424,-0.0159325,0.0230012,0.01429,-0.0209304,0.0019946,0.0125226,0.0389123,0.0161247,0.0259894,0.0280028,-0.0148512,-0.000687161,-0.0060021,0.0085173,0.0639254,0.0180685,0.0212875,0.041645
0.0574714,0.0653523,0.0287562,0.0391894,0.0344671,0.0183926,0.0309768,0.0604748,0.048045,0.0643292,0.0526829,0.0430692,0.112951,0.177093,0.024757,0.118117,0.134038,0.14907,0.265166,0.1365	-0.150658,-0.0664365,-0.125038,-0.101429,-0.151699,-0.16312,-0.159366,-0.112962,-0.171396,-0.159637,-0.142767,-0.155863,-0.268901,-0.162595,-0.268548,-0.230076,-0.155571,-0.136467,-0.0329259,-0.374973	0.206343,0.131219,0.153243,0.140062,0.185198,0.18097,0.189408,0.17226,0.217649,0.22169,0.193991,0.197606,0.370596,0.330181,0.291368,0.338981,0.283693,0.279844,0.295512,0.486569
-0.192157,-0.12845,-0.128296,-0.185661,-0.198072,-0.150515,-0.149316,-0.172832,-0.19722,-0.184167,-0.235112,-0.195204,-0.291436,-0.239311,-0.29066,-0.307383,-0.262467,-0.275864,-0.360497,-0.457539	-0.0311242,0.0122195,0.0158006,-0.0232091,0.0121923,0.00911808,0.00910103,0.011684,-0.0423786,0.0066761,-0.0391784,-0.0223344,0.0213106,0.0135037,0.00048069,-0.00931486,-0.00246968,-0.0026376,0.016599,-0.0271937	-0.162002,-0.140449,-0.143805,-0.163155,-0.209758,-0.159415,-0.158202,-0.184144,-0.156146,-0.190609,-0.197755,-0.173627,-0.310816,-0.252,-0.2911,-0.298924,-0.260166,-0.273425,-0.374853,-0.435767
