P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
EC	CY	KP	0.0482952	5.07683	1.91896e-07	0.0788625	20074.7	13383.1	12149.9
PNG	CY	EC	0.0379074	4.14128	1.72683e-05	0.0666861	16856.4	13979.5	12958.4
EC	CY	TE	0.0526597	5.01614	2.63604e-07	0.129497	20233.6	13352.1	12016.2
CY	PNG	KP	0.0184554	2.58852	0.00481953	0.0320024	21658.5	12546.7	12092
TE	KP	CY	0.00730191	1.56176	0.0591728	0.017634	20748.2	13100.6	12910.7
CY	PNG	TE	0.0227054	3.23071	0.000617406	0.0626203	21736	12534.9	11978.4
EC	PNG	KP	0.0643599	5.00954	2.728e-07	0.109009	19171.6	13957.8	12269.8
TE	KP	EC	0.0115842	2.47674	0.0066294	0.0130817	21660.5	12779.8	12487.1
EC	PNG	TE	0.0724819	5.09037	1.78686e-07	0.18379	19306.4	14003.4	12110.6
TE	KP	PNG	0.00340856	0.755731	0.224905	0.00394632	20326.1	13136.7	13047.4
