-0.134914,-0.109798,-0.262762,-0.135387,-0.0972122,-0.132371,-0.146544,-0.0556185,-0.106822,-0.0992196,0.00161632,-0.0353292,-0.0279027,-0.0593625,0.00219,0.00606707,-0.048121,-0.0601667,-0.0107612,-0.0751534	-0.381681,-0.280223,-0.376809,-0.371177,-0.336926,-0.202709,-0.20034,-0.246229,-0.401907,-0.198764,-0.488948,-0.398165,-0.235178,-0.412754,-0.374049,-0.532959,-0.391862,-0.488204,-0.51374,-0.267729	0.260164,0.175835,0.126579,0.248266,0.247831,0.0722771,0.0554227,0.193257,0.308322,0.101547,0.490177,0.368013,0.208644,0.362268,0.375931,0.537289,0.350347,0.440991,0.505775,0.19653
-0.379169,-0.306249,-0.27836,-0.27978,-0.350014,-0.375988,-0.570504,-0.451616,-0.461111,-0.468672,-0.366866,-0.432635,-0.54959,-0.381457,-0.520399,-0.482983,-0.491326,-0.441036,-0.547924,-0.560254	-0.0608969,0.0282777,0.110699,0.0195739,0.0014992,0.0183841,-0.00192501,0.0347351,0.0431536,-0.036548,0.0172475,-0.0112855,-0.016899,0.0151269,-0.00167852,-0.0263584,0.0556739,0.0518242,0.0167531,0.00148557	-0.325795,-0.331654,-0.377429,-0.297723,-0.351329,-0.391665,-0.569204,-0.47884,-0.494426,-0.439654,-0.381698,-0.423417,-0.537685,-0.394309,-0.519174,-0.462512,-0.532436,-0.481847,-0.559541,-0.561272
-0.15275,-0.12089,-0.250957,-0.141716,-0.108651,-0.121793,-0.153712,-0.0956633,-0.114882,-0.113454,-0.0126386,-0.0412966,-0.0257804,-0.0575663,-0.0334408,-0.0213256,-0.070296,-0.0794409,-0.028142,-0.100671	-0.388937,-0.299857,-0.381238,-0.375314,-0.353396,-0.218408,-0.230032,-0.277186,-0.415469,-0.220817,-0.509641,-0.413727,-0.255638,-0.423686,-0.394961,-0.546599,-0.408005,-0.508441,-0.529938,-0.296673	0.251105,0.185698,0.144064,0.246721,0.254518,0.0992556,0.0791174,0.186467,0.315653,0.110122,0.500225,0.378904,0.231382,0.375273,0.366359,0.531469,0.347681,0.447057,0.509392,0.202036
-0.481536,-0.401987,-0.473014,-0.479686,-0.468462,-0.436612,-0.572528,-0.527359,-0.630247,-0.483936,-0.62241,-0.594854,-0.57405,-0.575402,-0.646837,-0.698108,-0.654024,-0.665452,-0.695143,-0.594762	0.0379759,0.054428,-0.066357,-0.0142,0.0638465,-0.0148052,0.0379032,0.0622667,-0.0370497,0.0020994,0.0523285,0.0534943,0.100551,0.0306864,0.0850126,0.0301983,0.0342249,0.0553502,0.0897737,0.0612063	-0.510182,-0.446643,-0.419834,-0.468678,-0.51685,-0.424551,-0.597466,-0.570879,-0.60738,-0.485542,-0.653456,-0.628353,-0.637787,-0.595572,-0.693704,-0.713269,-0.67318,-0.695196,-0.738811,-0.632928
0.464917,0.426707,0.464143,0.437412,0.5239,0.423781,0.57101,0.55222,0.542729,0.551467,0.616066,0.590266,0.623252,0.52651,0.648807,0.540589,0.602507,0.694454,0.639675,0.590963	0.472967,0.411604,0.440168,0.436612,0.51172,0.389713,0.53993,0.554985,0.530398,0.539897,0.591909,0.567314,0.594891,0.50851,0.655041,0.54463,0.598288,0.674409,0.62687,0.580488	-0.0103193,0.0183219,0.0301316,0.000988423,0.0166416,0.0408072,0.0449327,-0.00398767,0.0173154,0.0164747,0.0380216,0.0345083,0.0450709,0.0245821,-0.0108423,-0.00572641,0.00659625,0.037703,0.0213765,0.0159449
0.0490331,0.0494846,-0.0451808,-0.00750072,0.0701375,-0.00688112,0.0481076,0.0539587,-0.0240359,0.00881558,0.0593173,0.0607354,0.108849,0.0312659,0.0944017,0.034065,0.0333127,0.061041,0.10185,0.0644575	-0.470831,-0.415306,-0.474022,-0.475063,-0.47042,-0.447782,-0.579581,-0.530238,-0.630666,-0.487087,-0.628991,-0.598721,-0.581671,-0.582834,-0.644126,-0.696623,-0.656765,-0.668127,-0.695255,-0.599156	0.508133,0.455431,0.438227,0.469235,0.523292,0.442264,0.610662,0.567947,0.615968,0.493782,0.663552,0.636318,0.649403,0.60311,0.696194,0.71375,0.675303,0.700596,0.744394,0.638938
-0.205661,-0.155316,-0.226662,-0.270041,-0.209068,-0.0944435,-0.0349633,-0.17428,-0.351924,-0.0799931,-0.470637,-0.337404,-0.14324,-0.348421,-0.335916,-0.51395,-0.355249,-0.437683,-0.469865,-0.162455	0.159649,0.155289,0.228312,0.127355,0.147852,0.123272,0.169985,0.10157,0.0832707,0.100511,0.0424269,0.0753766,0.0939779,0.082917,0.0566231,0.0171547,0.073116,0.103627,0.0815494,0.116848	-0.353696,-0.30329,-0.432588,-0.384184,-0.346219,-0.21521,-0.203737,-0.271052,-0.422805,-0.179064,-0.50302,-0.402543,-0.234067,-0.419227,-0.385212,-0.526464,-0.41752,-0.517824,-0.531066,-0.2741
0.523328,0.481835,0.556909,0.492504,0.554407,0.471567,0.612783,0.587669,0.571443,0.588601,0.616793,0.598453,0.62206,0.539697,0.659604,0.54325,0.620838,0.702587,0.639646,0.61758	0.515364,0.457966,0.549145,0.485373,0.533804,0.450189,0.579542,0.555733,0.55427,0.565425,0.583719,0.571436,0.59666,0.524048,0.639599,0.529972,0.599996,0.670923,0.616992,0.587659	0.0109051,0.030627,0.0111838,0.00937052,0.0292631,0.0271391,0.0515467,0.0474239,0.0251336,0.0347369,0.0516812,0.0410572,0.0403922,0.0218214,0.0346033,0.0186461,0.0332154,0.0599006,0.0374223,0.0469664
0.185616,0.161602,0.233395,0.139505,0.164093,0.118005,0.182942,0.136162,0.101746,0.119773,0.0624705,0.0866162,0.097647,0.0816575,0.0981357,0.0470666,0.0946881,0.127865,0.107986,0.143891	-0.190832,-0.168574,-0.231394,-0.26439,-0.212301,-0.115557,-0.0538002,-0.173112,-0.351244,-0.0847053,-0.47754,-0.345021,-0.162224,-0.360927,-0.32288,-0.507088,-0.353165,-0.441381,-0.468472,-0.166952	0.36357,0.32142,0.440974,0.389528,0.363723,0.23042,0.234434,0.302152,0.43736,0.202425,0.524367,0.419112,0.255818,0.429914,0.408085,0.541237,0.433361,0.538835,0.548701,0.30355
-0.448723,-0.408767,-0.475657,-0.439552,-0.502876,-0.424202,-0.559571,-0.541673,-0.546788,-0.54799,-0.604236,-0.576268,-0.600652,-0.516692,-0.633472,-0.53238,-0.597094,-0.685216,-0.623384,-0.576453	0.0208999,-0.0237983,-0.00789147,0.00546466,-0.0103326,-0.0332744,-0.0358156,-0.00402654,-0.00585549,-0.00929138,-0.0322632,-0.0277087,-0.0376154,-0.0239931,0.0185,0.00844527,-0.00760418,-0.032037,-0.0119465,-0.0134468	-0.465259,-0.38875,-0.469528,-0.44395,-0.495116,-0.396525,-0.534467,-0.538821,-0.54267,-0.541455,-0.583345,-0.557461,-0.576051,-0.498883,-0.64442,-0.538405,-0.592179,-0.667839,-0.616026,-0.567405
