P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
EC	CY	KP	0.0796802	6.77725	6.1241e-12	0.105564	64778.9	48236.6	41116.9
PNG	CY	EC	0.0215484	3.6745	0.000119156	0.0336301	59117.1	45698.6	43770.7
EC	CY	TE	0.0912984	7.26657	1.84365e-13	0.182767	65692.3	48576	40448.3
CY	PNG	KP	0.0188509	3.05197	0.00113671	0.0266105	71639.4	43282.9	41681.3
TE	KP	CY	0.00670857	1.34387	0.0894958	0.0165536	74156.9	43081.8	42507.6
CY	PNG	TE	0.0209795	3.52918	0.000208423	0.0485454	72034.5	43278.9	41500.2
EC	PNG	KP	0.0963004	6.75556	7.11404e-12	0.129047	62640.7	49630.6	40911.4
TE	KP	EC	0.019252	3.79146	7.4881e-05	0.0196281	80077.3	41882.5	40300.3
EC	PNG	TE	0.109584	7.77204	3.86177e-15	0.222182	63533.4	50124.1	40223.4
TE	KP	PNG	0.00464822	0.944463	0.172467	0.00564393	72702.4	43234	42833.9
