P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
EC	CY	KP	0.0879229	5.99621	1.00991e-09	0.0699873	42157.1	23608.6	19792.6
CY	PNG	EC	0.0137196	1.65073	0.0493969	0.0114162	45087.3	17738.2	17258
EC	CY	TE	0.0997529	7.57606	1.78104e-14	0.0858639	42861.4	23640.8	19352.1
CY	PNG	KP	0.0317496	3.30897	0.000468195	0.0210029	62615.3	17302.8	16237.9
TE	KP	CY	0.0186194	4.5608	2.54795e-06	0.012976	61610.4	18377.7	17705.8
CY	PNG	TE	0.0382078	4.19342	1.37392e-05	0.0277861	63066.6	17290.3	16017.7
EC	PNG	KP	0.112606	10.3244	0	0.0894485	42082.5	24119.1	19237
TE	KP	EC	0.0318647	9.90427	0	0.0174415	65582.6	18534	17389.3
EC	PNG	TE	0.12924	12.7612	0	0.111278	42726.5	24299.3	18737.3
TE	KP	PNG	0.0127912	3.253	0.000570971	0.00783569	60522.9	18361.7	17897.8
