chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	55121	488842	0.213921	0.293818	0.174259	0.090338
contig_1888_segment0	254754	701564	0.213436	0.308485	0.182523	0.089723
contig_1888_segment0	349281	867166	0.194619	0.254716	0.147439	0.081966
contig_1888_segment0	492671	923714	0.175337	0.239648	0.133349	0.071092
contig_1888_segment0	702300	1047873	0.177945	0.246684	0.132237	0.074218
contig_1888_segment0	867178	1104079	0.193963	0.316583	0.159939	0.075308
contig_1888_segment0	923715	1311435	0.176283	0.190476	0.103507	0.074257
contig_1888_segment0	1047879	1541237	0.027285	0.020723	0.011796	0.001876
contig_1888_segment0	1107680	1921502	0.010972	0.005708	0.003413	-0.006806
contig_1888_segment0	1311508	2109223	-0.045366	-0.021598	-0.013307	-0.032125
contig_1888_segment0	1541317	2403334	0.032680	0.014920	0.009174	0.006644
contig_1888_segment0	1921532	2606598	0.018130	0.010002	0.006044	0.001987
contig_1888_segment0	2109276	2771988	0.025624	0.015087	0.008612	-0.002988
contig_1888_segment0	2403341	2874555	-0.002236	-0.001639	-0.000875	-0.018799
contig_1888_segment0	2606662	2970833	-0.005451	-0.004329	-0.002216	-0.025632
contig_1888_segment0	2772011	3075527	0.002541	0.002178	0.001091	-0.017760
contig_1888_segment0	2874629	3162115	0.020174	0.017511	0.009071	-0.004653
contig_1888_segment0	2971385	3226869	-0.015860	-0.014385	-0.007514	-0.022818
contig_1888_segment0	3075560	3395969	0.009987	0.008432	0.004463	-0.012417
contig_1888_segment0	3162120	3576047	0.000894	0.000679	0.000345	-0.022247
contig_1888_segment0	3226873	3791616	0.052812	0.034640	0.018008	0.005679
contig_1888_segment0	3396097	3925743	0.029977	0.020502	0.010378	-0.005492
contig_1888_segment0	3576061	4056320	0.050673	0.036690	0.018937	0.012945
contig_1888_segment0	3791632	4163603	0.052516	0.043426	0.022002	0.017995
contig_1888_segment0	3925850	4249842	0.047031	0.039578	0.020987	0.016754
contig_1888_segment0	4056617	4354730	0.027324	0.022752	0.012319	0.003842
contig_1888_segment0	4163608	4467281	-0.061097	-0.051238	-0.026946	-0.043191
contig_1888_segment0	4249852	4610456	-0.032585	-0.024300	-0.012558	-0.031625
contig_1888_segment0	4354731	4743894	-0.022298	-0.016899	-0.008685	-0.029115
contig_1888_segment0	4467326	4834172	0.062039	0.047652	0.024897	0.015696
contig_1888_segment0	4610480	4919374	0.065756	0.055794	0.029599	0.018407
contig_1888_segment0	4744490	5015476	0.072884	0.062583	0.032614	0.023301
contig_1888_segment0	4834261	5106023	0.045855	0.039797	0.020372	0.009715
contig_1888_segment0	4919409	5212431	0.054340	0.042620	0.022403	0.009938
contig_1888_segment0	5015960	5318145	0.015263	0.012307	0.006342	-0.016628
contig_1888_segment0	5106077	5405161	0.016168	0.013043	0.006703	-0.019513
contig_1888_segment0	5212498	5497742	-0.026870	-0.025400	-0.012216	-0.036626
contig_1888_segment0	5318159	5576988	-0.018693	-0.017555	-0.008880	-0.028518
contig_1888_segment0	5405169	5659447	-0.073041	-0.070150	-0.033964	-0.055239
contig_1888_segment0	5497799	5765975	-0.053411	-0.047655	-0.023571	-0.044659
contig_1888_segment0	5577013	5899709	-0.046308	-0.038437	-0.018655	-0.037765
contig_1888_segment0	5659926	6055959	0.023149	0.017204	0.009000	0.000091
contig_1888_segment0	5766003	6166613	-0.007124	-0.005265	-0.002697	-0.020962
contig_1888_segment0	5899710	6248474	-0.014058	-0.011365	-0.005800	-0.021940
contig_1888_segment0	6056106	6361068	-0.035680	-0.031491	-0.015570	-0.030828
contig_1888_segment0	6166759	6485129	-0.034567	-0.030639	-0.015139	-0.029069
contig_1888_segment0	6248588	6623450	-0.010172	-0.007847	-0.004104	-0.019830
contig_1888_segment0	6361069	6785020	0.010182	0.007349	0.003996	-0.012096
contig_1888_segment0	6485474	6903640	0.024089	0.017171	0.009490	-0.005805
contig_1888_segment0	6623457	7006723	0.030619	0.022499	0.012500	-0.000300
contig_1888_segment0	6785041	7111488	0.039547	0.028388	0.016163	0.006765
contig_1888_segment0	6903734	7193683	0.031089	0.022250	0.013013	0.007631
contig_1888_segment0	7006731	7271485	-0.004535	-0.003497	-0.001960	-0.012498
contig_1888_segment0	7111490	7344832	-0.028286	-0.023373	-0.012583	-0.027183
contig_1888_segment0	7193687	7419987	-0.004628	-0.004080	-0.002080	-0.017823
contig_1888_segment0	7271490	7488946	0.031251	0.025358	0.013555	-0.001325
contig_1888_segment0	7345040	7553287	0.038205	0.030613	0.016490	0.002351
contig_1888_segment0	7419989	7614642	0.052215	0.038388	0.022223	0.013757
contig_1888_segment0	7488983	7683968	0.011553	0.008975	0.005046	-0.005931
contig_1888_segment0	7553289	7744345	0.042175	0.032957	0.018821	0.010075
contig_1888_segment0	7614842	7803123	0.039888	0.034547	0.018264	0.005217
contig_1888_segment0	7684037	7877435	0.056849	0.047674	0.025529	0.013118
contig_1888_segment0	7744821	7948063	0.027715	0.023330	0.012308	0.000821
contig_1888_segment0	7803142	8024934	0.046801	0.038007	0.020532	0.007512
contig_1888_segment0	7877488	8099401	0.083707	0.071009	0.038336	0.028749
contig_1888_segment0	7948123	8170636	0.069283	0.060181	0.031415	0.016961
contig_1888_segment0	8024992	8242164	0.042446	0.037355	0.019629	0.006344
contig_1888_segment0	8099403	8309793	0.045495	0.039287	0.020845	0.007253
contig_1888_segment0	8171166	8387708	0.042812	0.036093	0.019783	0.012317
contig_1888_segment0	8242205	8469835	0.041336	0.035401	0.019087	0.014456
contig_1888_segment0	8309799	8567740	0.015722	0.013159	0.006939	0.003736
contig_1888_segment0	8387714	8648053	0.019020	0.016082	0.008385	0.001698
contig_1888_segment0	8469968	8730590	-0.010487	-0.009006	-0.004733	-0.015720
contig_1888_segment0	8567780	8833272	-0.014701	-0.013407	-0.006923	-0.023261
contig_1888_segment0	8648105	8975060	-0.000247	-0.000211	-0.000109	-0.020040
contig_1888_segment0	8730631	9089954	0.020066	0.016072	0.008358	-0.008148
contig_1888_segment0	8833960	9244042	0.036091	0.026528	0.014045	-0.001558
contig_1888_segment0	8975672	9397023	0.025831	0.019246	0.010227	-0.003818
contig_1888_segment0	9090153	9582966	0.076050	0.054336	0.029041	0.023266
contig_1888_segment0	9244726	9751898	0.079212	0.057927	0.030593	0.026828
