chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	71024	548384	0.018377	0.030911	0.020130	0.009771
contig_1888_segment0	270456	832714	-0.036800	-0.060013	-0.039060	-0.008649
contig_1888_segment0	352413	914993	-0.027807	-0.040987	-0.027285	-0.006364
contig_1888_segment0	548389	966425	-0.018768	-0.030538	-0.019699	-0.002809
contig_1888_segment0	832733	1057949	0.047888	0.093538	0.059621	0.018688
contig_1888_segment0	915029	1269717	0.041130	0.057921	0.034128	0.017424
contig_1888_segment0	968353	1406523	0.004857	0.004874	0.003110	0.002562
contig_1888_segment0	1057952	1808402	-0.033966	-0.018761	-0.012748	-0.017256
contig_1888_segment0	1269720	2046507	-0.041278	-0.019646	-0.014138	-0.019971
contig_1888_segment0	1406941	2253718	-0.013439	-0.005967	-0.004300	-0.003657
contig_1888_segment0	1808421	2421584	0.044806	0.026166	0.018512	0.023959
contig_1888_segment0	2046511	2623023	0.065462	0.040742	0.028539	0.032419
contig_1888_segment0	2254456	2777618	0.035585	0.023546	0.016046	0.017520
contig_1888_segment0	2421608	2880848	0.026835	0.018136	0.012447	0.011542
contig_1888_segment0	2623040	2972281	0.016521	0.011959	0.008058	0.005938
contig_1888_segment0	2778384	3069074	0.037380	0.028435	0.018955	0.013640
contig_1888_segment0	2880896	3160444	0.011232	0.008866	0.005907	0.003547
contig_1888_segment0	2972289	3237108	-0.028131	-0.022517	-0.015059	-0.020424
contig_1888_segment0	3069083	3396217	-0.017240	-0.011826	-0.008288	-0.012024
contig_1888_segment0	3160508	3568187	-0.067885	-0.041623	-0.029326	-0.044316
contig_1888_segment0	3237247	3758156	-0.049383	-0.028630	-0.020142	-0.029690
contig_1888_segment0	3396261	3884966	-0.073667	-0.046082	-0.031270	-0.043587
contig_1888_segment0	3568391	3998458	-0.014968	-0.011209	-0.007089	-0.011335
contig_1888_segment0	3758249	4122386	0.059597	0.044428	0.028623	0.024802
contig_1888_segment0	3885055	4200007	0.069794	0.055237	0.035952	0.032002
contig_1888_segment0	3998465	4289655	0.090342	0.065000	0.045302	0.043126
contig_1888_segment0	4122631	4398243	-0.016357	-0.011964	-0.008210	-0.010171
contig_1888_segment0	4200010	4539935	-0.015453	-0.009906	-0.006805	-0.009392
contig_1888_segment0	4289835	4685639	-0.039213	-0.022936	-0.016000	-0.018823
contig_1888_segment0	4398283	4809145	0.028756	0.016828	0.011800	0.015600
contig_1888_segment0	4540245	4891446	0.042846	0.027099	0.019438	0.021693
contig_1888_segment0	4685734	4973868	0.017235	0.012917	0.008747	0.004662
