chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	668086	2402973	0.084305	0.071706	0.039656	0.027641
contig_1888_segment0	1271688	2991367	-0.008773	-0.006739	-0.003519	-0.016706
contig_1888_segment0	2403032	3484985	0.003824	0.004096	0.001842	-0.011405
contig_1888_segment0	2991455	4139504	0.021069	0.021262	0.009662	-0.001623
contig_1888_segment0	3485300	4616805	0.002508	0.002549	0.001152	-0.010755
contig_1888_segment0	4139524	5064111	0.007243	0.007997	0.003625	-0.010303
contig_1888_segment0	4616858	5483848	0.027468	0.031604	0.013978	-0.004447
contig_1888_segment0	5064116	5910451	-0.005891	-0.007021	-0.002955	-0.019635
contig_1888_segment0	5484135	6392881	-0.046867	-0.056743	-0.023499	-0.036199
contig_1888_segment0	5910690	6955186	-0.028368	-0.030452	-0.013628	-0.029051
contig_1888_segment0	6392965	7339140	0.003554	0.003638	0.001768	-0.009911
contig_1888_segment0	6955286	7626627	0.012157	0.013527	0.006523	-0.003933
contig_1888_segment0	7339230	7915764	0.035133	0.041681	0.019482	0.002852
contig_1888_segment0	7626669	8229755	0.021471	0.026978	0.012000	-0.004452
contig_1888_segment0	7915786	8584987	0.017919	0.022012	0.009847	-0.001632
contig_1888_segment0	8229794	9039299	0.017326	0.020662	0.009487	0.000761
contig_1888_segment0	8585024	9732347	0.017708	0.018846	0.008624	-0.002504
contig_1888_segment0	9039313	10259944	0.025641	0.025695	0.011793	-0.001488
contig_1888_segment0	9732355	10778436	0.028674	0.029291	0.013830	-0.001261
contig_1888_segment0	10259949	11613769	0.042676	0.039986	0.020175	0.007198
scaffold_335_segment0	62387	480477	0.055185	0.154315	0.074371	0.022043
scaffold_335_segment0	134694	1287403	0.206556	0.265605	0.129036	0.088835
scaffold_335_segment0	480479	2029993	0.167330	0.167692	0.078649	0.067523
scaffold_335_segment0	1287411	2628593	0.032355	0.034206	0.015344	0.001534
scaffold_335_segment0	2031558	3151862	0.041920	0.046449	0.021242	0.007382
scaffold_335_segment0	2628594	3683618	0.055084	0.060810	0.026916	0.012098
scaffold_335_segment0	3152020	4182442	0.043966	0.047358	0.019681	0.004918
scaffold_335_segment0	3684042	4798376	0.044456	0.045601	0.018737	0.004382
scaffold_335_segment0	4182452	5195675	0.023196	0.024181	0.010196	-0.004284
scaffold_335_segment0	4798422	5662430	0.045578	0.047691	0.021327	0.005816
