chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	6567	176864	-0.064104	-0.147297	-0.064599	-0.023810
contig_1888_segment0	61057	264274	-0.027988	-0.047946	-0.023992	-0.008864
contig_1888_segment0	176866	338748	-0.009191	-0.016649	-0.008903	-0.007111
contig_1888_segment0	264352	350475	0.004632	0.013375	0.006481	-0.003036
contig_1888_segment0	338760	425642	-0.016019	-0.054374	-0.024578	-0.008736
contig_1888_segment0	350479	539349	-0.023421	-0.055117	-0.027028	-0.011498
contig_1888_segment0	425670	592841	-0.031415	-0.090011	-0.041842	-0.016664
contig_1888_segment0	542399	759030	0.024161	0.050164	0.023818	0.001055
contig_1888_segment0	592946	844439	0.144695	0.223005	0.116905	0.058654
contig_1888_segment0	759043	885798	0.056285	0.132900	0.061639	0.017863
contig_1888_segment0	844470	918933	-0.069039	-0.242648	-0.084499	-0.028738
contig_1888_segment0	885801	925748	-0.030417	-0.123593	-0.049288	-0.012349
contig_1888_segment0	918957	1001284	-0.080864	-0.254365	-0.097344	-0.037263
contig_1888_segment0	925749	1049833	-0.120578	-0.373416	-0.122718	-0.051995
contig_1888_segment0	1001285	1062016	-0.064186	-0.295148	-0.102237	-0.022499
contig_1888_segment0	1049913	1133473	0.088780	0.181561	0.101558	0.031310
contig_1888_segment0	1062031	1271300	-0.004791	-0.004162	-0.002618	-0.001096
contig_1888_segment0	1133549	1335921	-0.124278	-0.089813	-0.057959	-0.057191
contig_1888_segment0	1271316	1434440	0.057055	0.047351	0.027246	0.026001
contig_1888_segment0	1335926	1572570	0.202165	0.123147	0.070350	0.103936
contig_1888_segment0	1434444	1828740	0.108511	0.040115	0.026162	0.053839
contig_1888_segment0	1573202	1919482	-0.005758	-0.002624	-0.001671	0.000232
contig_1888_segment0	1829888	2036563	-0.030745	-0.024192	-0.013008	-0.014426
contig_1888_segment0	1919547	2090334	-0.001730	-0.001327	-0.000708	-0.005731
contig_1888_segment0	2037617	2244398	-0.016125	-0.012241	-0.006933	-0.014481
contig_1888_segment0	2091824	2339319	-0.091501	-0.065450	-0.036851	-0.043706
contig_1888_segment0	2244480	2407835	-0.051347	-0.044025	-0.021465	-0.023667
contig_1888_segment0	2339618	2500138	-0.025690	-0.024832	-0.011884	-0.014487
contig_1888_segment0	2407962	2602865	0.009517	0.008725	0.004366	0.002980
contig_1888_segment0	2500222	2675133	0.045647	0.039408	0.019746	0.020512
contig_1888_segment0	2602985	2746654	0.048812	0.044916	0.022943	0.021597
contig_1888_segment0	2675140	2799822	0.069482	0.070196	0.036353	0.031397
contig_1888_segment0	2746675	2843590	-0.008637	-0.009883	-0.004883	0.002107
