chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	55386	485419	0.033125	0.051317	0.035737	0.012206
contig_1888_segment0	254720	703408	0.018817	0.030372	0.021156	0.006390
contig_1888_segment0	349138	867197	0.031636	0.043436	0.031961	0.013823
contig_1888_segment0	485482	924208	0.016482	0.022475	0.016262	0.006185
contig_1888_segment0	703922	1049204	0.031769	0.041989	0.030615	0.012297
contig_1888_segment0	867201	1130717	0.029559	0.038778	0.027703	0.009473
contig_1888_segment0	924214	1335850	0.046103	0.042287	0.032748	0.020254
contig_1888_segment0	1049209	1620915	0.052451	0.031422	0.024326	0.025354
contig_1888_segment0	1130877	1987403	0.061016	0.027042	0.021368	0.034653
contig_1888_segment0	1335854	2115540	0.053346	0.025437	0.019151	0.031299
contig_1888_segment0	1620989	2371171	0.036310	0.019304	0.014526	0.022854
contig_1888_segment0	1987498	2564703	0.030511	0.020361	0.014673	0.019214
contig_1888_segment0	2115556	2734490	0.033755	0.021598	0.015716	0.020240
contig_1888_segment0	2371198	2852798	0.007214	0.004952	0.003461	0.003152
contig_1888_segment0	2565187	2949636	-0.018936	-0.013118	-0.009066	-0.013169
contig_1888_segment0	2734679	3054130	-0.005196	-0.003641	-0.002534	-0.003276
contig_1888_segment0	2853194	3142018	0.038886	0.028227	0.020279	0.024623
contig_1888_segment0	2949757	3212604	0.064031	0.048884	0.034720	0.038875
contig_1888_segment0	3054131	3368245	0.073644	0.050478	0.036105	0.044712
contig_1888_segment0	3142061	3511668	0.121309	0.071054	0.051121	0.079354
contig_1888_segment0	3212605	3704668	0.114168	0.063898	0.045502	0.080850
contig_1888_segment0	3368289	3848227	0.115309	0.067993	0.047418	0.086693
contig_1888_segment0	3512668	3977771	0.009722	0.006751	0.004538	0.007884
contig_1888_segment0	3704676	4115338	-0.008010	-0.005502	-0.003798	-0.001561
contig_1888_segment0	3848477	4199014	-0.068032	-0.049187	-0.033751	-0.037446
contig_1888_segment0	3977855	4292232	-0.036956	-0.025336	-0.017335	-0.014221
contig_1888_segment0	4115342	4400881	-0.031036	-0.022520	-0.015367	-0.012770
contig_1888_segment0	4199098	4546530	0.004102	0.002613	0.001854	0.004598
contig_1888_segment0	4292337	4688275	0.013921	0.008472	0.006079	0.010012
contig_1888_segment0	4400887	4809099	0.002428	0.001450	0.001030	0.003060
contig_1888_segment0	4546600	4884403	-0.004458	-0.002949	-0.002072	-0.001329
contig_1888_segment0	4689638	4966303	-0.002889	-0.002191	-0.001513	0.001041
contig_1888_segment0	4809104	5065786	0.026398	0.021449	0.014831	0.016168
contig_1888_segment0	4884405	5161183	0.033844	0.026343	0.018222	0.021018
contig_1888_segment0	4966305	5266545	0.031439	0.023164	0.016153	0.015575
contig_1888_segment0	5065834	5366627	0.012631	0.009135	0.006446	0.003337
contig_1888_segment0	5161281	5466640	0.010430	0.007592	0.005475	0.000475
contig_1888_segment0	5266558	5538580	-0.004493	-0.003482	-0.002469	-0.008046
contig_1888_segment0	5366661	5621386	0.013094	0.010837	0.007554	0.005977
contig_1888_segment0	5466696	5715293	-0.004987	-0.004068	-0.002777	-0.002761
contig_1888_segment0	5539053	5830881	0.017636	0.012533	0.008853	0.012031
contig_1888_segment0	5621397	6007100	0.028201	0.017747	0.012658	0.018154
contig_1888_segment0	5715314	6121276	0.044969	0.028753	0.020810	0.031469
contig_1888_segment0	5830882	6210724	0.021292	0.014678	0.010532	0.017039
contig_1888_segment0	6007103	6292198	-0.000472	-0.000378	-0.000264	0.002450
contig_1888_segment0	6121327	6413700	-0.017776	-0.014396	-0.009803	-0.009572
contig_1888_segment0	6210802	6548590	-0.007554	-0.005586	-0.003867	-0.001274
contig_1888_segment0	6292408	6691986	0.022922	0.015578	0.010937	0.019408
contig_1888_segment0	6413701	6833279	0.017272	0.011176	0.007769	0.014851
contig_1888_segment0	6548631	6951819	0.016691	0.011177	0.007722	0.013066
contig_1888_segment0	6692120	7063297	-0.029547	-0.020674	-0.013727	-0.017190
contig_1888_segment0	6833524	7155805	-0.014196	-0.010367	-0.006874	-0.008858
contig_1888_segment0	6951832	7230570	0.001637	0.001278	0.000815	-0.000260
contig_1888_segment0	7063298	7306053	0.012709	0.010247	0.006670	0.009064
contig_1888_segment0	7155930	7380280	0.015844	0.012613	0.008344	0.008496
contig_1888_segment0	7230590	7446692	0.019378	0.015270	0.010215	0.013016
contig_1888_segment0	7306142	7517648	0.036366	0.027950	0.018742	0.023782
contig_1888_segment0	7380346	7576835	0.024511	0.019410	0.012854	0.017537
contig_1888_segment0	7446774	7637279	0.014607	0.011802	0.007713	0.011419
contig_1888_segment0	7517712	7706315	-0.007138	-0.005655	-0.003760	-0.005375
contig_1888_segment0	7576879	7767555	0.020170	0.016134	0.010649	0.011308
contig_1888_segment0	7637374	7837643	0.022687	0.017866	0.011958	0.013656
contig_1888_segment0	7706341	7908460	0.001351	0.001107	0.000727	0.006969
contig_1888_segment0	7767602	7982668	-0.011488	-0.008826	-0.005957	0.000228
contig_1888_segment0	7837673	8060802	-0.027039	-0.020294	-0.013878	-0.009693
contig_1888_segment0	7908557	8136640	0.003938	0.002885	0.002008	0.006390
contig_1888_segment0	7982712	8209714	-0.013307	-0.010204	-0.007084	-0.003004
contig_1888_segment0	8060827	8274502	-0.006812	-0.005306	-0.003626	-0.000875
contig_1888_segment0	8136916	8342561	-0.022374	-0.017872	-0.012001	-0.010306
