chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	94373	573413	0.014563	0.027398	0.018555	0.005755
contig_1888_segment0	300569	844674	0.016923	0.029159	0.020418	0.007053
contig_1888_segment0	412563	919941	-0.008244	-0.013962	-0.009693	-0.002205
contig_1888_segment0	573439	1017220	-0.002403	-0.003859	-0.002702	-0.000296
contig_1888_segment0	844675	1102108	-0.010541	-0.020938	-0.013691	-0.006359
contig_1888_segment0	919942	1322478	0.018477	0.024645	0.017664	0.007280
contig_1888_segment0	1018098	1634844	0.045192	0.028773	0.022199	0.022016
contig_1888_segment0	1102121	1959851	0.059718	0.028800	0.022509	0.033064
contig_1888_segment0	1323422	2150965	0.047406	0.022098	0.016766	0.028703
contig_1888_segment0	1636139	2382870	0.019402	0.011407	0.008405	0.011811
contig_1888_segment0	1960072	2585303	0.017491	0.011698	0.008414	0.011281
contig_1888_segment0	2151055	2746567	0.041775	0.029197	0.020708	0.024520
contig_1888_segment0	2383014	2865011	0.028733	0.020943	0.014332	0.016174
contig_1888_segment0	2585306	2962395	0.024345	0.018223	0.012313	0.014839
contig_1888_segment0	2746585	3067501	0.036220	0.028775	0.019609	0.020718
contig_1888_segment0	2865018	3156606	0.059166	0.047298	0.033422	0.034717
contig_1888_segment0	2962875	3234245	0.059146	0.047192	0.033075	0.034399
contig_1888_segment0	3067620	3395645	0.059625	0.041057	0.029276	0.037958
contig_1888_segment0	3156663	3554399	0.077343	0.047942	0.033778	0.053864
contig_1888_segment0	3234705	3736478	0.030509	0.019446	0.013257	0.026843
contig_1888_segment0	3395655	3870039	0.009817	0.006709	0.004435	0.013678
contig_1888_segment0	3554962	3995117	-0.045454	-0.036792	-0.023440	-0.023418
contig_1888_segment0	3736510	4128270	-0.013762	-0.010775	-0.007233	-0.004695
contig_1888_segment0	3870050	4215358	-0.046193	-0.038854	-0.025728	-0.021389
contig_1888_segment0	3995216	4307412	-0.015252	-0.011869	-0.008018	-0.005928
contig_1888_segment0	4128279	4434004	-0.017764	-0.013173	-0.009059	-0.007745
contig_1888_segment0	4216005	4575985	-0.008848	-0.005714	-0.004054	-0.005072
contig_1888_segment0	4307955	4715048	-0.017502	-0.010699	-0.007626	-0.009975
contig_1888_segment0	4434108	4833036	-0.036193	-0.022911	-0.016075	-0.022713
contig_1888_segment0	4576722	4921524	-0.036887	-0.026059	-0.018039	-0.022582
contig_1888_segment0	4715254	5021871	-0.027046	-0.021029	-0.014323	-0.013661
contig_1888_segment0	4833061	5115035	-0.010523	-0.008845	-0.006010	-0.003264
contig_1888_segment0	4921544	5225329	0.020092	0.015548	0.010813	0.012021
contig_1888_segment0	5021882	5330548	0.022083	0.016865	0.011891	0.011291
contig_1888_segment0	5115123	5411687	0.054337	0.041711	0.029371	0.025817
contig_1888_segment0	5225681	5501851	0.027227	0.022738	0.015782	0.011543
contig_1888_segment0	5330671	5579407	0.018662	0.016615	0.011175	0.005663
contig_1888_segment0	5411769	5674019	-0.011553	-0.009447	-0.006473	-0.007908
contig_1888_segment0	5501886	5783151	-0.023255	-0.017874	-0.012149	-0.015852
contig_1888_segment0	5579412	5934463	-0.021926	-0.014803	-0.010368	-0.014219
contig_1888_segment0	5674057	6083981	0.009716	0.006681	0.004708	0.008455
contig_1888_segment0	5783172	6187717	0.048301	0.033957	0.024195	0.034096
contig_1888_segment0	5934779	6271926	0.051806	0.040905	0.028560	0.036473
contig_1888_segment0	6084485	6387349	0.027259	0.022428	0.015101	0.016791
contig_1888_segment0	6187718	6515249	0.007059	0.005520	0.003781	0.006104
contig_1888_segment0	6271972	6673962	0.017162	0.011923	0.008391	0.012580
contig_1888_segment0	6387362	6813049	0.033691	0.023178	0.016024	0.025384
contig_1888_segment0	6515258	6934327	0.035959	0.025219	0.017287	0.026235
contig_1888_segment0	6673966	7050356	0.002117	0.001544	0.001024	0.001930
contig_1888_segment0	6813269	7157390	-0.024809	-0.017241	-0.011698	-0.014852
contig_1888_segment0	6934331	7239308	-0.028119	-0.020888	-0.013679	-0.017723
contig_1888_segment0	7050390	7324837	-0.017435	-0.013291	-0.008762	-0.008040
contig_1888_segment0	7157494	7400943	-0.019326	-0.015273	-0.010010	-0.009953
contig_1888_segment0	7239378	7463878	-0.001713	-0.001329	-0.000885	0.000067
contig_1888_segment0	7324918	7534725	-0.006721	-0.005283	-0.003505	-0.002100
contig_1888_segment0	7400962	7603651	-0.004762	-0.003611	-0.002436	-0.001331
contig_1888_segment0	7463884	7676807	-0.032308	-0.022848	-0.015667	-0.015195
contig_1888_segment0	7534730	7748627	-0.018284	-0.013238	-0.009081	-0.012283
contig_1888_segment0	7603697	7808012	-0.023341	-0.018474	-0.012336	-0.011717
contig_1888_segment0	7677061	7882802	-0.028624	-0.023793	-0.015584	-0.016240
contig_1888_segment0	7748646	7965729	-0.044040	-0.034724	-0.023250	-0.019059
contig_1888_segment0	7808055	8042841	-0.023461	-0.017535	-0.011980	-0.008895
contig_1888_segment0	7882804	8117927	-0.034771	-0.027158	-0.018712	-0.017467
contig_1888_segment0	7965731	8196507	-0.025516	-0.020318	-0.014049	-0.012596
contig_1888_segment0	8042873	8269507	-0.047904	-0.037809	-0.025909	-0.025175
contig_1888_segment0	8118067	8341303	-0.007335	-0.005669	-0.003888	-0.002288
contig_1888_segment0	8196697	8431521	-0.011070	-0.008497	-0.005683	-0.006474
contig_1888_segment0	8269585	8537659	0.008298	0.006201	0.004258	0.001978
contig_1888_segment0	8341601	8622965	-0.009853	-0.007396	-0.005062	-0.005766
contig_1888_segment0	8431568	8717906	-0.004090	-0.003182	-0.002166	-0.002169
contig_1888_segment0	8537732	8822169	-0.007499	-0.006202	-0.004136	-0.002054
contig_1888_segment0	8622969	8965169	-0.021124	-0.016851	-0.011065	-0.016660
contig_1888_segment0	8717971	9085540	0.014530	0.011132	0.007270	0.006589
contig_1888_segment0	8822181	9239882	0.023169	0.016995	0.010969	0.013519
contig_1888_segment0	8965216	9409703	0.027266	0.019328	0.012808	0.018438
contig_1888_segment0	9085683	9629771	-0.009905	-0.006337	-0.004393	-0.002859
contig_1888_segment0	9239965	9764040	-0.037073	-0.024326	-0.016901	-0.020109
