chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	55371	494778	0.184446	0.277814	0.161324	0.076067
contig_1888_segment0	254946	699851	0.191945	0.306652	0.176419	0.077765
contig_1888_segment0	349559	866846	0.213962	0.326360	0.179489	0.089979
contig_1888_segment0	494780	923731	0.181342	0.293564	0.153029	0.071191
contig_1888_segment0	699852	1048117	0.149384	0.260175	0.127929	0.057110
contig_1888_segment0	866859	1115385	0.137291	0.258464	0.122775	0.047519
contig_1888_segment0	923732	1310410	0.121445	0.138690	0.078361	0.046043
contig_1888_segment0	1048120	1540794	0.062601	0.050877	0.030105	0.018630
contig_1888_segment0	1116141	1912245	0.025383	0.013283	0.008233	0.002463
contig_1888_segment0	1310705	2077096	0.010441	0.005380	0.003300	-0.005824
contig_1888_segment0	1540798	2329268	-0.027308	-0.014514	-0.008503	-0.023636
contig_1888_segment0	1912303	2500602	-0.038188	-0.028863	-0.015149	-0.025529
contig_1888_segment0	2077097	2681809	-0.049037	-0.037195	-0.018775	-0.035298
contig_1888_segment0	2329503	2814888	0.004091	0.003543	0.001741	-0.011409
contig_1888_segment0	2501309	2918162	0.018187	0.015130	0.007723	-0.011286
contig_1888_segment0	2681899	3017517	0.038618	0.035054	0.017312	0.001282
contig_1888_segment0	2814926	3104043	0.005048	0.004687	0.002334	-0.014227
contig_1888_segment0	2918238	3184477	0.007089	0.007342	0.003624	-0.005820
contig_1888_segment0	3017587	3288695	-0.002405	-0.002292	-0.001190	-0.014618
contig_1888_segment0	3104237	3449678	0.036972	0.030675	0.016131	0.003881
contig_1888_segment0	3184478	3631116	0.008455	0.006223	0.003248	-0.014104
contig_1888_segment0	3288828	3800770	0.015823	0.011866	0.005865	-0.007390
contig_1888_segment0	3449932	3938674	-0.021210	-0.017403	-0.008285	-0.023388
contig_1888_segment0	3631124	4050549	-0.014778	-0.013418	-0.006212	-0.016057
contig_1888_segment0	3800807	4154437	-0.012995	-0.012279	-0.005842	-0.012935
contig_1888_segment0	3938724	4236125	0.011963	0.011786	0.005727	-0.002937
contig_1888_segment0	4050643	4337062	-0.004413	-0.004182	-0.002087	-0.012262
contig_1888_segment0	4154662	4451253	-0.041474	-0.039214	-0.019352	-0.033503
contig_1888_segment0	4236152	4594215	-0.057168	-0.047529	-0.023616	-0.043659
contig_1888_segment0	4337113	4729141	-0.033963	-0.026694	-0.013726	-0.035504
contig_1888_segment0	4451259	4832659	-0.001720	-0.001310	-0.000701	-0.020572
contig_1888_segment0	4594221	4914124	0.021777	0.018868	0.010111	-0.006183
contig_1888_segment0	4729195	4992104	0.018192	0.018068	0.009152	-0.004752
contig_1888_segment0	4832676	5083154	0.026251	0.028697	0.013751	-0.000763
contig_1888_segment0	4914182	5177273	0.015674	0.015872	0.007489	-0.009187
contig_1888_segment0	4992377	5274596	0.034277	0.032889	0.016055	-0.002012
contig_1888_segment0	5083241	5362357	0.025586	0.024334	0.011581	-0.009610
contig_1888_segment0	5177274	5451319	0.004546	0.004902	0.002212	-0.019175
contig_1888_segment0	5274603	5526094	0.024756	0.027781	0.012350	-0.007918
contig_1888_segment0	5362371	5595538	0.023110	0.027416	0.012278	-0.005064
contig_1888_segment0	5451334	5672378	-0.006406	-0.007593	-0.003340	-0.018118
contig_1888_segment0	5526121	5781384	-0.035978	-0.038347	-0.017147	-0.033362
contig_1888_segment0	5595557	5917985	-0.044130	-0.042265	-0.019376	-0.038615
contig_1888_segment0	5672475	6058140	-0.038501	-0.033290	-0.016177	-0.038004
contig_1888_segment0	5781393	6158528	-0.080922	-0.074294	-0.034076	-0.058327
contig_1888_segment0	5918040	6239351	-0.090304	-0.094278	-0.041435	-0.062034
contig_1888_segment0	6058151	6336822	-0.025959	-0.028094	-0.012568	-0.026640
contig_1888_segment0	6158558	6450411	-0.041799	-0.043835	-0.020481	-0.035533
contig_1888_segment0	6239359	6571141	-0.035113	-0.032800	-0.015817	-0.032099
contig_1888_segment0	6336836	6701568	-0.018582	-0.015866	-0.008020	-0.027782
contig_1888_segment0	6450805	6833728	0.038972	0.032870	0.017100	0.001663
contig_1888_segment0	6571164	6943522	0.039434	0.032557	0.017419	0.002927
contig_1888_segment0	6701572	7048266	-0.011249	-0.009480	-0.005110	-0.018217
contig_1888_segment0	6833742	7144706	-0.037265	-0.031636	-0.017155	-0.027525
contig_1888_segment0	6943636	7219409	-0.022344	-0.020832	-0.011248	-0.017048
contig_1888_segment0	7048348	7292257	-0.009445	-0.009760	-0.004970	-0.013077
contig_1888_segment0	7144769	7362515	-0.000069	-0.000076	-0.000037	-0.008607
contig_1888_segment0	7219422	7430837	-0.010014	-0.010803	-0.005168	-0.016625
contig_1888_segment0	7292330	7495465	0.005930	0.005990	0.002945	-0.010514
contig_1888_segment0	7362517	7555691	-0.016316	-0.016305	-0.008194	-0.022727
contig_1888_segment0	7430868	7615641	0.003884	0.003763	0.001990	-0.010608
contig_1888_segment0	7495467	7689998	-0.007176	-0.006802	-0.003644	-0.012496
contig_1888_segment0	7555693	7749914	0.043559	0.041616	0.022561	0.011522
contig_1888_segment0	7615662	7804269	0.041416	0.041656	0.021252	0.006223
contig_1888_segment0	7690169	7878909	0.032413	0.033449	0.016680	-0.001842
contig_1888_segment0	7750053	7950269	0.001201	0.001177	0.000591	-0.015966
contig_1888_segment0	7804275	8027025	0.009360	0.008285	0.004319	-0.016347
contig_1888_segment0	7878971	8102295	0.021572	0.019452	0.010212	-0.008776
contig_1888_segment0	7950724	8178687	-0.001262	-0.001192	-0.000598	-0.021964
contig_1888_segment0	8027163	8246047	-0.009174	-0.009282	-0.004680	-0.017569
contig_1888_segment0	8102309	8312547	-0.004967	-0.004884	-0.002497	-0.013282
contig_1888_segment0	8178704	8386431	0.032113	0.031548	0.016667	0.011080
contig_1888_segment0	8246123	8472719	0.024118	0.022920	0.011980	0.006608
contig_1888_segment0	8312779	8568215	0.006363	0.006298	0.003162	-0.000829
contig_1888_segment0	8386487	8645153	-0.012599	-0.012291	-0.006140	-0.013425
contig_1888_segment0	8472769	8732048	0.006242	0.006373	0.003191	-0.004353
contig_1888_segment0	8568312	8843379	0.022584	0.022369	0.011740	0.002516
contig_1888_segment0	8645236	8968841	0.028288	0.027281	0.013811	0.002756
contig_1888_segment0	8732052	9086255	-0.012227	-0.011517	-0.005752	-0.016780
contig_1888_segment0	8843409	9234008	-0.044466	-0.042139	-0.020064	-0.035731
contig_1888_segment0	8968867	9377582	-0.033354	-0.029860	-0.014909	-0.028630
contig_1888_segment0	9086677	9582384	0.011771	0.009919	0.004906	-0.007413
contig_1888_segment0	9234024	9739982	0.060150	0.046673	0.023839	0.017797
contig_1888_segment0	9377883	9851654	0.053128	0.040984	0.021276	0.011521
contig_1888_segment0	9582405	9956439	0.012662	0.009865	0.005152	-0.009954
contig_1888_segment0	9740145	10060392	-0.001805	-0.001540	-0.000796	-0.017241
contig_1888_segment0	9851952	10201557	0.019951	0.017514	0.009000	-0.006022
contig_1888_segment0	9956466	10386383	0.046170	0.038936	0.020789	0.007910
contig_1888_segment0	10060547	10521887	0.051288	0.042793	0.022711	0.011362
contig_1888_segment0	10201560	10615800	0.033700	0.028704	0.014780	0.001229
contig_1888_segment0	10386453	10697590	0.025531	0.022664	0.011577	-0.000059
contig_1888_segment0	10521998	10786929	0.012534	0.010826	0.005647	-0.009157
contig_1888_segment0	10615813	10859878	0.003252	0.002906	0.001515	-0.014577
contig_1888_segment0	10697627	10961907	-0.000538	-0.000485	-0.000252	-0.017096
contig_1888_segment0	10787038	11106899	0.013939	0.012098	0.006188	-0.005455
contig_1888_segment0	10859930	11608552	0.073934	0.051730	0.028052	0.026423
contig_1888_segment0	10962143	11616629	0.079281	0.070072	0.038756	0.029960
contig_235_segment0	7284	58355	0.019054	0.077469	0.040779	0.008359
contig_235_segment0	25858	68351	0.008534	0.035773	0.018390	0.001330
contig_235_segment0	47474	86427	0.006714	0.028363	0.014417	0.001152
contig_235_segment0	58361	102907	-0.014626	-0.070507	-0.032195	-0.008168
contig_235_segment0	68352	121909	-0.003794	-0.016454	-0.007390	0.000412
contig_235_segment0	86435	134833	0.004831	0.021190	0.009809	0.004527
contig_235_segment0	103004	156433	0.012834	0.049894	0.023699	0.006848
scaffold_335_segment0	134834	191691	0.081909	0.190320	0.100757	0.032712
scaffold_335_segment0	156437	309666	0.120208	0.235324	0.123184	0.048291
scaffold_335_segment0	38364	634513	0.252433	0.307671	0.152478	0.110896
scaffold_335_segment0	191699	951404	0.358058	0.313962	0.161579	0.181107
scaffold_335_segment0	309669	1160516	0.424964	0.313195	0.162223	0.237440
scaffold_335_segment0	635322	1276851	0.352313	0.264031	0.137278	0.193176
scaffold_335_segment0	951418	1285843	0.216947	0.220456	0.112176	0.097251
scaffold_335_segment0	1160823	1297006	0.077288	0.132743	0.066582	0.030465
scaffold_335_segment0	1276858	1459241	-0.000061	-0.000098	-0.000047	-0.007969
scaffold_335_segment0	1285871	1701024	0.012127	0.011781	0.005941	-0.008331
scaffold_335_segment0	1297027	1906646	0.036161	0.025926	0.013371	-0.002013
scaffold_335_segment0	1459311	2121347	0.029107	0.019879	0.010606	-0.001911
scaffold_335_segment0	1701025	2298168	0.009215	0.006569	0.003513	-0.010792
scaffold_335_segment0	1906710	2432489	-0.011331	-0.008515	-0.004466	-0.018959
scaffold_335_segment0	2121692	2529934	-0.006792	-0.005761	-0.002946	-0.017217
scaffold_335_segment0	2298219	2646736	0.010941	0.010199	0.005102	-0.007184
scaffold_335_segment0	2432581	2758968	0.026139	0.025980	0.012532	-0.001468
scaffold_335_segment0	2529945	2850662	0.001744	0.001702	0.000868	-0.013620
scaffold_335_segment0	2646737	2977187	0.010405	0.009079	0.004888	-0.008603
scaffold_335_segment0	2759107	3172942	0.055026	0.041117	0.023523	0.017718
scaffold_335_segment0	2850773	3357140	0.079834	0.055997	0.030325	0.028295
scaffold_335_segment0	2977257	3486601	0.105387	0.071175	0.037791	0.041825
scaffold_335_segment0	3172949	3611418	0.027771	0.019797	0.010360	-0.003265
scaffold_335_segment0	3357406	3723348	0.006177	0.004855	0.002508	-0.013868
scaffold_335_segment0	3486637	3834430	-0.024901	-0.021801	-0.009983	-0.031266
scaffold_335_segment0	3611478	3945714	0.016480	0.013816	0.006505	-0.011091
scaffold_335_segment0	3723701	4061370	0.044140	0.035707	0.017210	0.002048
scaffold_335_segment0	3834524	4170606	0.007494	0.005983	0.003043	-0.012852
scaffold_335_segment0	3945744	4291291	-0.027306	-0.023399	-0.011342	-0.027686
scaffold_335_segment0	4061472	4515590	0.043050	0.031858	0.015479	0.003846
scaffold_335_segment0	4170694	4670008	0.072942	0.049170	0.024755	0.016888
scaffold_335_segment0	4291394	4778757	0.064930	0.046130	0.022266	0.012908
scaffold_335_segment0	4515605	4873260	0.016145	0.012973	0.006264	-0.008864
scaffold_335_segment0	4670048	4964010	-0.021234	-0.020192	-0.009094	-0.028538
