chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	55371	494813	0.021461	0.046150	0.029329	0.008039
contig_1888_segment0	254834	704156	0.015329	0.037440	0.023193	0.005977
contig_1888_segment0	349106	869472	0.031193	0.071779	0.046028	0.014107
contig_1888_segment0	494842	923599	0.004029	0.009597	0.005941	0.002475
contig_1888_segment0	704168	1038637	0.011950	0.027901	0.017277	0.004896
contig_1888_segment0	870769	1095748	-0.009804	-0.026059	-0.015272	-0.005229
contig_1888_segment0	923600	1276527	0.024179	0.037076	0.026056	0.010255
contig_1888_segment0	1038645	1511970	0.013116	0.011682	0.008484	0.007829
contig_1888_segment0	1096045	1881626	0.070935	0.036274	0.027854	0.035848
contig_1888_segment0	1276529	2047092	0.039491	0.020194	0.014829	0.020120
contig_1888_segment0	1512576	2243612	0.056057	0.032319	0.023462	0.026883
contig_1888_segment0	1881686	2403443	-0.029110	-0.024253	-0.016307	-0.012930
contig_1888_segment0	2047122	2579707	-0.000520	-0.000439	-0.000302	0.001493
contig_1888_segment0	2243626	2703924	-0.019019	-0.016872	-0.011024	-0.010075
contig_1888_segment0	2403450	2817637	0.012915	0.012005	0.007552	0.005025
contig_1888_segment0	2579724	2900872	0.003944	0.003682	0.002255	-0.000618
contig_1888_segment0	2703942	2975047	0.010764	0.010386	0.006539	0.005457
contig_1888_segment0	2817664	3062276	0.049204	0.047864	0.030600	0.024208
contig_1888_segment0	2901140	3138184	0.058367	0.059538	0.039480	0.030679
contig_1888_segment0	2975097	3202588	0.069557	0.070984	0.046580	0.035200
contig_1888_segment0	3062292	3304908	0.054607	0.050033	0.033372	0.029992
contig_1888_segment0	3138469	3420012	0.159755	0.133286	0.086626	0.087132
contig_1888_segment0	3202673	3563087	0.138935	0.103023	0.069039	0.080063
contig_1888_segment0	3304915	3710009	0.081258	0.064593	0.041180	0.050856
contig_1888_segment0	3420042	3819584	-0.002934	-0.002535	-0.001557	0.006211
contig_1888_segment0	3563182	3940807	-0.040651	-0.040367	-0.023534	-0.018453
contig_1888_segment0	3710039	4035586	-0.020963	-0.021091	-0.012780	-0.008203
contig_1888_segment0	3819593	4134463	-0.055253	-0.055191	-0.034256	-0.025433
contig_1888_segment0	3941005	4210481	-0.035173	-0.036795	-0.022058	-0.011354
contig_1888_segment0	4035742	4286421	-0.023520	-0.023377	-0.014182	-0.006423
contig_1888_segment0	4134499	4377544	-0.021264	-0.020887	-0.012873	-0.009958
contig_1888_segment0	4210515	4477559	0.000837	0.000747	0.000486	0.000679
contig_1888_segment0	4286490	4596108	0.002274	0.001860	0.001216	0.002891
contig_1888_segment0	4377548	4713601	-0.002994	-0.002293	-0.001512	0.000740
contig_1888_segment0	4477758	4811768	-0.037107	-0.027859	-0.018302	-0.017511
contig_1888_segment0	4596169	4875857	-0.040974	-0.035137	-0.022793	-0.020303
contig_1888_segment0	4713602	4950111	-0.032819	-0.032456	-0.020429	-0.013571
contig_1888_segment0	4811806	5041477	0.004888	0.005178	0.003221	0.003606
contig_1888_segment0	4875867	5114630	0.008093	0.008708	0.005473	0.006714
contig_1888_segment0	4950157	5197323	0.023372	0.023264	0.014798	0.010594
contig_1888_segment0	5041729	5281699	0.022470	0.022802	0.014535	0.008561
contig_1888_segment0	5114701	5360137	0.028025	0.026908	0.017340	0.009399
contig_1888_segment0	5197324	5438463	0.018836	0.020300	0.012944	0.005351
contig_1888_segment0	5281712	5506183	0.025621	0.028688	0.018342	0.010012
contig_1888_segment0	5360190	5564264	0.031184	0.038478	0.023341	0.013151
contig_1888_segment0	5438504	5642000	0.006408	0.007368	0.004545	0.002323
contig_1888_segment0	5506205	5717049	-0.005351	-0.006066	-0.003632	-0.004331
contig_1888_segment0	5564281	5808628	0.006477	0.006130	0.003897	0.001299
contig_1888_segment0	5642276	5932837	0.019348	0.017129	0.010852	0.007236
contig_1888_segment0	5717250	6053838	0.059346	0.049162	0.032617	0.030460
contig_1888_segment0	5808704	6144382	0.029331	0.026424	0.017247	0.017510
contig_1888_segment0	5932958	6215858	0.029169	0.029433	0.018962	0.019482
contig_1888_segment0	6053990	6286252	0.001315	0.001460	0.000894	0.002968
contig_1888_segment0	6144397	6386709	0.007545	0.008687	0.005192	0.005054
contig_1888_segment0	6215922	6493314	-0.007861	-0.007866	-0.004877	-0.002030
contig_1888_segment0	6286313	6602997	-0.003467	-0.003210	-0.002044	0.000934
contig_1888_segment0	6386966	6716029	0.017876	0.015595	0.010065	0.013786
contig_1888_segment0	6493388	6836827	0.011947	0.010853	0.006833	0.010434
contig_1888_segment0	6603040	6934491	0.009747	0.008660	0.005511	0.009401
contig_1888_segment0	6716046	7031457	-0.053203	-0.047986	-0.029067	-0.025005
contig_1888_segment0	6837044	7119221	-0.021947	-0.019142	-0.011893	-0.011419
contig_1888_segment0	6934511	7188368	-0.027822	-0.026247	-0.015386	-0.015442
contig_1888_segment0	7031508	7251227	0.018747	0.018799	0.011286	0.009281
contig_1888_segment0	7119250	7318605	0.013785	0.014796	0.008644	0.008165
contig_1888_segment0	7188371	7381267	0.004310	0.004558	0.002747	0.001944
contig_1888_segment0	7251335	7437268	0.002068	0.002161	0.001310	0.001770
contig_1888_segment0	7318621	7494120	0.001495	0.001564	0.000928	0.003162
contig_1888_segment0	7381302	7545943	-0.004280	-0.004630	-0.002720	0.001179
contig_1888_segment0	7437281	7594533	-0.007280	-0.007738	-0.004594	-0.001912
contig_1888_segment0	7494121	7649571	-0.016058	-0.016502	-0.010105	-0.005825
contig_1888_segment0	7546007	7706494	-0.010709	-0.010324	-0.006443	-0.004524
contig_1888_segment0	7594545	7760507	-0.002190	-0.002207	-0.001354	-0.001134
contig_1888_segment0	7649573	7805425	0.003264	0.003594	0.002166	0.002283
contig_1888_segment0	7706551	7867295	-0.011399	-0.013346	-0.007740	-0.002526
contig_1888_segment0	7760533	7926279	-0.029392	-0.032366	-0.019471	-0.009348
contig_1888_segment0	7805427	7983710	-0.025897	-0.026068	-0.016010	-0.008529
contig_1888_segment0	7867296	8048138	-0.010063	-0.009688	-0.006144	-0.000320
contig_1888_segment0	7926287	8108861	0.003389	0.003308	0.002105	0.005085
contig_1888_segment0	7983721	8173393	-0.006732	-0.006690	-0.004259	-0.001413
contig_1888_segment0	8048187	8230917	-0.021812	-0.022337	-0.014259	-0.007776
contig_1888_segment0	8108972	8286233	-0.019343	-0.019168	-0.011973	-0.007929
contig_1888_segment0	8173706	8349767	-0.018474	-0.019182	-0.011741	-0.007397
contig_1888_segment0	8231030	8417768	0.010412	0.010487	0.006341	0.005244
contig_1888_segment0	8286286	8491818	-0.015649	-0.015898	-0.009749	-0.008524
contig_1888_segment0	8350037	8571828	0.014827	0.014419	0.009168	0.008093
contig_1888_segment0	8417771	8636372	-0.002911	-0.002984	-0.001880	-0.000963
contig_1888_segment0	8491967	8712429	0.012748	0.013570	0.008359	0.008507
contig_1888_segment0	8571961	8790945	-0.001436	-0.001574	-0.000952	0.000058
contig_1888_segment0	8636376	8900868	-0.000990	-0.000999	-0.000624	-0.002940
contig_1888_segment0	8712442	9001933	-0.029110	-0.029762	-0.017433	-0.019096
contig_1888_segment0	8790946	9092520	-0.018761	-0.018415	-0.010664	-0.013071
contig_1888_segment0	8900912	9229738	0.007295	0.007078	0.004013	0.006303
contig_1888_segment0	9001953	9329410	0.051792	0.047777	0.028875	0.030325
contig_1888_segment0	9092565	9509037	0.019635	0.016989	0.010527	0.011625
contig_1888_segment0	9229839	9652593	-0.027710	-0.023568	-0.014796	-0.013681
contig_1888_segment0	9329549	9762445	-0.041910	-0.035315	-0.022558	-0.018072
contig_1888_segment0	9509428	9850972	-0.032147	-0.027514	-0.017687	-0.015906
contig_1888_segment0	9652687	9934489	0.006445	0.005585	0.003657	0.004368
contig_1888_segment0	9762495	10013400	0.006641	0.005784	0.003756	0.004847
contig_1888_segment0	9851056	10122158	-0.011899	-0.011202	-0.007161	-0.003398
contig_1888_segment0	9934609	10268118	-0.000313	-0.000289	-0.000184	0.000476
contig_1888_segment0	10013543	10430471	0.001547	0.001323	0.000850	-0.000005
contig_1888_segment0	10122180	10553701	0.000333	0.000291	0.000179	-0.000583
contig_1888_segment0	10268126	10632715	-0.004898	-0.004402	-0.002727	-0.001479
contig_1888_segment0	10430895	10704764	-0.004165	-0.004094	-0.002489	-0.003573
contig_1888_segment0	10553736	10780265	0.025445	0.022921	0.014754	0.012278
contig_1888_segment0	10632776	10846937	0.006837	0.006622	0.004150	0.002449
contig_1888_segment0	10704810	10929928	0.012308	0.011624	0.007406	0.010119
contig_1888_segment0	10780513	11037677	-0.002825	-0.002827	-0.001759	0.001577
contig_1888_segment0	10846965	11420574	0.040240	0.031405	0.019720	0.025449
contig_1888_segment0	10929947	11613922	0.040243	0.037693	0.023304	0.022635
contig_235_segment0	4565	54517	-0.015871	-0.072612	-0.037034	-0.005407
contig_235_segment0	11529	64275	-0.014439	-0.063043	-0.033113	-0.004146
contig_235_segment0	40096	73477	-0.007516	-0.033712	-0.017881	-0.000956
contig_235_segment0	54519	90815	-0.015918	-0.079247	-0.039605	-0.003771
contig_235_segment0	64282	107947	-0.011452	-0.054877	-0.027771	-0.002098
contig_235_segment0	73480	127816	-0.014014	-0.061229	-0.033032	-0.003137
contig_235_segment0	90816	136153	-0.003206	-0.013891	-0.007559	0.000043
contig_235_segment0	107948	167885	-0.008162	-0.032698	-0.018597	-0.003714
scaffold_335_segment0	136173	226359	-0.009563	-0.027604	-0.016013	-0.008067
scaffold_335_segment0	167886	323038	0.005062	0.013391	0.007637	-0.001332
scaffold_335_segment0	91672	758428	0.021438	0.034714	0.021656	0.007462
scaffold_335_segment0	227212	994246	0.031044	0.033924	0.022816	0.016247
scaffold_335_segment0	323047	1174047	0.054931	0.045124	0.031001	0.029608
scaffold_335_segment0	758457	1275673	0.076057	0.063512	0.043227	0.038186
scaffold_335_segment0	994704	1285115	0.060706	0.070469	0.045979	0.028731
scaffold_335_segment0	1174157	1292564	0.025754	0.053948	0.032827	0.011403
scaffold_335_segment0	1275677	1398446	-0.015167	-0.031048	-0.019085	-0.005016
scaffold_335_segment0	1285116	1590087	-0.007950	-0.009266	-0.006005	-0.003055
scaffold_335_segment0	1292571	1783695	0.022317	0.017262	0.011284	0.013114
scaffold_335_segment0	1398459	1965005	0.027047	0.019367	0.012641	0.016336
scaffold_335_segment0	1590283	2135452	0.013587	0.009690	0.006335	0.008415
scaffold_335_segment0	1784300	2287528	-0.007089	-0.005359	-0.003541	-0.002673
scaffold_335_segment0	1965018	2401022	-0.008537	-0.006759	-0.004429	-0.007075
scaffold_335_segment0	2135456	2484644	-0.012147	-0.010638	-0.006760	-0.008817
scaffold_335_segment0	2287545	2568273	-0.007943	-0.007377	-0.004646	-0.006295
scaffold_335_segment0	2401413	2668575	-0.009055	-0.009409	-0.005770	-0.005578
scaffold_335_segment0	2484747	2773601	0.028443	0.028782	0.018018	0.015015
scaffold_335_segment0	2568284	2825974	0.033780	0.036436	0.022559	0.019414
scaffold_335_segment0	2668576	2936184	0.035924	0.031000	0.020111	0.021159
scaffold_335_segment0	2773768	3088627	-0.036725	-0.028874	-0.018941	-0.013694
scaffold_335_segment0	2827142	3221678	-0.094722	-0.068425	-0.045504	-0.047296
scaffold_335_segment0	2936204	3368448	-0.084839	-0.064857	-0.042474	-0.042995
scaffold_335_segment0	3088728	3461921	-0.029541	-0.022726	-0.015161	-0.014788
scaffold_335_segment0	3221680	3556421	-0.019543	-0.014810	-0.009620	-0.008368
scaffold_335_segment0	3368603	3641023	-0.045882	-0.035521	-0.023197	-0.020999
scaffold_335_segment0	3461969	3736454	-0.032087	-0.026600	-0.017056	-0.014694
scaffold_335_segment0	3556443	3838280	-0.010085	-0.009103	-0.005824	-0.006284
scaffold_335_segment0	3641358	3929096	-0.011059	-0.009086	-0.006090	-0.005071
scaffold_335_segment0	3736467	4020564	-0.033585	-0.028477	-0.018574	-0.017603
scaffold_335_segment0	3838522	4127355	-0.004235	-0.003363	-0.002219	-0.000622
scaffold_335_segment0	3929182	4192132	-0.006562	-0.006187	-0.003905	-0.003944
scaffold_335_segment0	4020575	4329273	-0.038473	-0.031157	-0.020360	-0.018220
scaffold_335_segment0	4127366	4499769	-0.004703	-0.003723	-0.002488	-0.001874
scaffold_335_segment0	4192403	4619871	0.002133	0.001514	0.001017	0.003737
scaffold_335_segment0	4329288	4728694	0.024269	0.018005	0.012115	0.014836
scaffold_335_segment0	4499805	4806054	-0.037059	-0.031338	-0.019969	-0.014447
scaffold_335_segment0	4619884	4884049	-0.025630	-0.024084	-0.014838	-0.012452
scaffold_335_segment0	4728733	4968695	0.003960	0.004156	0.002456	0.000916
scaffold_335_segment0	4806056	5056532	0.012841	0.012237	0.007419	0.002528
scaffold_335_segment0	4884061	5136618	0.004496	0.004247	0.002587	0.001016
scaffold_335_segment0	4968787	5196652	0.000443	0.000424	0.000264	-0.000498
scaffold_335_segment0	5056558	5222681	0.012257	0.013782	0.008661	0.005137
scaffold_335_segment0	5136819	5325119	0.011247	0.013229	0.008171	0.005957
scaffold_335_segment0	5196668	5463496	-0.003873	-0.004040	-0.002545	-0.001455
scaffold_335_segment0	5222686	5587508	-0.011342	-0.009943	-0.006451	-0.002526
scaffold_335_segment0	5325178	5663866	-0.015416	-0.013754	-0.009195	-0.009024
scaffold_335_segment0	5463509	5738619	-0.010728	-0.010042	-0.006639	-0.005894
scaffold_335_segment0	5587509	5846326	-0.016331	-0.015442	-0.010172	-0.008762
scaffold_335_segment0	5663873	5943894	0.010943	0.010225	0.006711	0.008519
scaffold_335_segment0	5738655	6018063	0.027138	0.025636	0.016743	0.017562
scaffold_335_segment0	5846387	6095134	0.008153	0.007860	0.005060	0.005062
scaffold_335_segment0	5943901	6153861	0.009385	0.008534	0.005535	0.008129
scaffold_335_segment0	6018074	6238980	-0.020943	-0.016684	-0.011001	-0.008642
scaffold_335_segment0	6095274	6314517	-0.003362	-0.002513	-0.001671	0.002610
scaffold_335_segment0	6153870	6392530	-0.001085	-0.000769	-0.000521	-0.001509
scaffold_335_segment0	6239056	6457379	0.005752	0.004596	0.003059	0.001032
scaffold_335_segment0	6314686	6538651	-0.001113	-0.000908	-0.000598	-0.002213
scaffold_335_segment0	6392631	6590512	-0.048131	-0.044128	-0.027748	-0.023744
scaffold_335_segment0	6457410	6645542	-0.013770	-0.012905	-0.008201	-0.006268
scaffold_335_segment0	6538668	6668403	-0.006945	-0.008601	-0.005300	-0.004930
scaffold_335_segment0	6590531	6700247	-0.040952	-0.053429	-0.031528	-0.028068
scaffold_335_segment0	6645548	6753634	-0.067327	-0.093055	-0.055803	-0.037742
scaffold_335_segment0	6668412	6869092	-0.063462	-0.064094	-0.040722	-0.034779
scaffold_335_segment0	6700251	6963339	-0.007634	-0.006946	-0.004566	0.002998
scaffold_335_segment0	6753855	7078749	-0.017446	-0.014003	-0.009094	-0.004247
scaffold_335_segment0	6869183	7174846	-0.022501	-0.017888	-0.011603	-0.005353
scaffold_335_segment0	6963446	7261251	0.009979	0.007885	0.005219	0.006890
scaffold_335_segment0	7078750	7340495	0.002290	0.001804	0.001191	0.006663
