chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	55371	521568	0.196898	0.261924	0.158066	0.083460
contig_1888_segment0	260583	758769	0.186290	0.249829	0.148383	0.080169
contig_1888_segment0	350525	889085	0.192387	0.232757	0.134970	0.084182
contig_1888_segment0	521591	942214	0.155805	0.205137	0.116895	0.063684
contig_1888_segment0	758788	1056380	0.152806	0.217202	0.119760	0.061205
contig_1888_segment0	889088	1257633	0.212224	0.258208	0.135202	0.085056
contig_1888_segment0	942219	1382214	0.079940	0.077947	0.042697	0.030321
contig_1888_segment0	1056383	1794297	0.037947	0.020754	0.012605	0.005815
contig_1888_segment0	1257646	2048392	-0.057599	-0.028210	-0.017895	-0.038973
contig_1888_segment0	1382372	2298330	0.012261	0.005323	0.003349	-0.005194
contig_1888_segment0	1794311	2536808	0.014892	0.008312	0.004991	0.000780
contig_1888_segment0	2048890	2734892	0.020453	0.011907	0.006925	-0.003070
contig_1888_segment0	2298378	2859760	0.026485	0.017384	0.009646	-0.002327
contig_1888_segment0	2536970	2971623	0.032429	0.022261	0.012152	-0.005774
contig_1888_segment0	2734984	3083057	0.029904	0.022801	0.012117	-0.004380
contig_1888_segment0	2860097	3177332	0.036763	0.028533	0.015783	0.002235
contig_1888_segment0	2971663	3291734	-0.000308	-0.000234	-0.000133	-0.018985
contig_1888_segment0	3083229	3515013	-0.038113	-0.023827	-0.013917	-0.045367
contig_1888_segment0	3177386	3746905	-0.055306	-0.033229	-0.018589	-0.060167
contig_1888_segment0	3291755	3891927	-0.059405	-0.036341	-0.019680	-0.056435
contig_1888_segment0	3515020	4010703	-0.040976	-0.031061	-0.015529	-0.038110
contig_1888_segment0	3747065	4149748	0.056884	0.043358	0.022845	0.019275
contig_1888_segment0	3892109	4245817	0.058457	0.045726	0.024766	0.022091
contig_1888_segment0	4010737	4357470	0.076375	0.053111	0.030811	0.028772
contig_1888_segment0	4149791	4501326	-0.075601	-0.054364	-0.030229	-0.055699
contig_1888_segment0	4245824	4679514	-0.049824	-0.031266	-0.017645	-0.045433
contig_1888_segment0	4357520	4809265	-0.026942	-0.017320	-0.009790	-0.037346
contig_1888_segment0	4501534	4895984	0.055904	0.036767	0.021292	0.013350
contig_1888_segment0	4679586	4980403	0.035166	0.027826	0.015495	0.000041
contig_1888_segment0	4809267	5082743	0.026032	0.021953	0.011799	-0.001406
contig_1888_segment0	4896030	5195732	0.020596	0.016158	0.008670	-0.007199
contig_1888_segment0	4980410	5307802	0.008558	0.006415	0.003398	-0.017385
contig_1888_segment0	5082771	5401357	0.020088	0.015096	0.007993	-0.015878
contig_1888_segment0	5195845	5501352	-0.003441	-0.002889	-0.001479	-0.025264
contig_1888_segment0	5308122	5579407	0.011275	0.009764	0.005150	-0.014908
contig_1888_segment0	5401385	5672846	-0.081538	-0.073364	-0.037092	-0.061976
contig_1888_segment0	5501441	5801490	-0.075946	-0.059525	-0.031435	-0.061164
contig_1888_segment0	5579440	5992118	-0.052280	-0.035226	-0.019072	-0.044871
contig_1888_segment0	5672856	6123383	0.014623	0.009437	0.005223	-0.004593
contig_1888_segment0	5801520	6218991	0.015781	0.011114	0.005905	-0.006275
contig_1888_segment0	5992169	6321857	-0.001150	-0.000927	-0.000485	-0.014820
contig_1888_segment0	6123675	6453930	-0.003901	-0.003107	-0.001638	-0.017678
contig_1888_segment0	6219320	6604099	-0.015442	-0.011007	-0.006037	-0.023541
contig_1888_segment0	6321950	6775033	0.029960	0.020059	0.011222	-0.000548
contig_1888_segment0	6454079	6905389	0.022253	0.014861	0.008358	-0.008005
contig_1888_segment0	6604202	7013438	0.066735	0.045664	0.026540	0.020915
contig_1888_segment0	6775059	7128048	0.021984	0.014734	0.008691	-0.001811
contig_1888_segment0	6905481	7216376	0.010186	0.007104	0.004198	-0.003099
contig_1888_segment0	7013439	7302053	-0.039879	-0.029630	-0.016790	-0.034360
contig_1888_segment0	7128160	7384124	-0.043030	-0.034589	-0.018773	-0.037007
contig_1888_segment0	7216436	7454987	-0.037933	-0.030136	-0.016374	-0.037656
contig_1888_segment0	7302058	7531987	-0.008529	-0.006386	-0.003570	-0.024034
contig_1888_segment0	7384146	7597392	0.004588	0.003242	0.001888	-0.013811
contig_1888_segment0	7455056	7680387	-0.009350	-0.006408	-0.003819	-0.019091
contig_1888_segment0	7532009	7749886	0.021081	0.014768	0.008872	0.001517
contig_1888_segment0	7597491	7818899	-0.006347	-0.004822	-0.002699	-0.021069
contig_1888_segment0	7680484	7903893	0.018928	0.014038	0.007910	-0.006757
contig_1888_segment0	7749904	7992204	0.016382	0.011644	0.006545	-0.010200
contig_1888_segment0	7818969	8080769	0.042527	0.028959	0.016928	0.008053
contig_1888_segment0	7903928	8165924	0.034335	0.023704	0.013760	0.000575
contig_1888_segment0	7992333	8246145	0.021320	0.015352	0.008847	-0.007802
contig_1888_segment0	8080776	8320406	0.032487	0.023815	0.013789	0.000636
contig_1888_segment0	8166066	8406048	0.040989	0.030543	0.017703	0.011983
contig_1888_segment0	8246233	8513039	0.024152	0.017606	0.010049	0.004022
contig_1888_segment0	8320595	8615143	-0.017443	-0.012628	-0.007052	-0.017969
contig_1888_segment0	8406164	8711455	-0.025629	-0.018885	-0.010434	-0.027936
contig_1888_segment0	8513212	8824169	-0.012191	-0.009385	-0.005198	-0.020938
contig_1888_segment0	8615208	8973103	0.017534	0.012998	0.007165	-0.009911
contig_1888_segment0	8711482	9108391	0.038119	0.028343	0.015504	0.003868
contig_1888_segment0	8824182	9273108	0.037138	0.026855	0.014604	-0.000640
contig_1888_segment0	8973110	9484577	0.044517	0.030599	0.017012	0.007363
contig_1888_segment0	9108487	9697537	0.066512	0.041522	0.023587	0.019371
contig_1888_segment0	9273328	9833628	0.065653	0.038977	0.022681	0.022575
contig_1888_segment0	9485068	9959887	0.051202	0.031242	0.018015	0.010413
contig_1888_segment0	9697625	10090346	0.014225	0.009110	0.005181	-0.011782
contig_1888_segment0	9833821	10263844	-0.008195	-0.005440	-0.003038	-0.027763
contig_1888_segment0	9960100	10455751	0.005992	0.003855	0.002219	-0.016543
contig_1888_segment0	10090561	10583617	0.033777	0.021412	0.012463	-0.001510
contig_1888_segment0	10264248	10687191	0.066459	0.041754	0.024739	0.020077
contig_1888_segment0	10455888	10781495	0.051812	0.035504	0.020529	0.010432
contig_1888_segment0	10584098	10871685	0.027268	0.019640	0.011348	0.000944
contig_1888_segment0	10687195	10997091	0.014320	0.010433	0.005994	-0.007113
contig_1888_segment0	10782123	11393826	0.009782	0.006009	0.003512	-0.005538
contig_1888_segment0	10871900	11613455	0.033880	0.021277	0.012793	0.011027
contig_235_segment0	4291	56871	0.019476	0.061680	0.034401	0.008827
contig_235_segment0	12514	66292	0.010318	0.035441	0.019248	0.002121
contig_235_segment0	41279	82846	-0.026269	-0.099507	-0.048449	-0.015109
contig_235_segment0	56874	95330	-0.025576	-0.106295	-0.051684	-0.013665
contig_235_segment0	66293	117607	-0.001845	-0.006294	-0.003140	0.001476
contig_235_segment0	83156	133528	0.035396	0.116073	0.061575	0.018478
contig_235_segment0	95363	150304	0.043405	0.130270	0.071352	0.021062
scaffold_335_segment0	133542	181992	0.089252	0.185301	0.104334	0.036378
scaffold_335_segment0	150322	309202	0.119285	0.211944	0.114658	0.047762
scaffold_335_segment0	18396	655376	0.275886	0.286510	0.152608	0.124692
scaffold_335_segment0	183545	995145	0.376877	0.280263	0.156692	0.194728
scaffold_335_segment0	309204	1224822	0.432421	0.262878	0.149813	0.252128
scaffold_335_segment0	655455	1281713	0.338952	0.220024	0.126893	0.182538
scaffold_335_segment0	995150	1289869	0.186188	0.167547	0.095572	0.080287
