chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	61057	539349	0.015784	0.027328	0.017328	0.007779
contig_1888_segment0	264352	759030	-0.001831	-0.003262	-0.002100	0.004412
contig_1888_segment0	350479	885798	-0.019327	-0.032367	-0.020742	-0.002177
contig_1888_segment0	542399	925748	-0.017435	-0.033339	-0.020468	-0.001735
contig_1888_segment0	759043	1049833	0.031837	0.062109	0.037830	0.016552
contig_1888_segment0	885801	1133473	0.015503	0.032468	0.018663	0.009573
contig_1888_segment0	925749	1335921	0.052994	0.061368	0.038109	0.023739
contig_1888_segment0	1049913	1572570	-0.053747	-0.042037	-0.026673	-0.026252
contig_1888_segment0	1133549	1919482	-0.024451	-0.012752	-0.008710	-0.015330
contig_1888_segment0	1335926	2090334	-0.072622	-0.035006	-0.024597	-0.032118
contig_1888_segment0	1573202	2339319	0.034426	0.017001	0.012210	0.016863
contig_1888_segment0	1919547	2500138	0.042263	0.025238	0.017889	0.021949
contig_1888_segment0	2091824	2675133	0.023339	0.014476	0.010049	0.012594
contig_1888_segment0	2339618	2799822	-0.031940	-0.022406	-0.015035	-0.012837
contig_1888_segment0	2500222	2884750	-0.018164	-0.013776	-0.009059	-0.011081
contig_1888_segment0	2675140	2963611	-0.004305	-0.003615	-0.002327	-0.003969
contig_1888_segment0	2799842	3058727	0.051138	0.042895	0.027824	0.016799
contig_1888_segment0	2884762	3138572	0.028952	0.024847	0.015918	0.010979
contig_1888_segment0	2963647	3206447	0.007840	0.007057	0.004533	-0.001167
contig_1888_segment0	3058790	3304892	-0.013684	-0.012065	-0.007862	-0.009940
contig_1888_segment0	3138659	3433910	-0.007085	-0.005557	-0.003641	-0.008960
contig_1888_segment0	3206448	3582078	-0.000610	-0.000448	-0.000293	-0.005824
contig_1888_segment0	3304908	3766865	-0.009418	-0.006436	-0.004250	-0.009122
contig_1888_segment0	3433950	3882157	-0.034630	-0.025104	-0.016425	-0.021429
contig_1888_segment0	3582091	3992868	-0.022243	-0.017360	-0.010860	-0.013904
contig_1888_segment0	3767261	4114486	0.046902	0.037016	0.023539	0.022146
contig_1888_segment0	3882392	4184420	0.080751	0.066536	0.043063	0.037592
contig_1888_segment0	3993124	4263170	0.096515	0.076022	0.051976	0.045882
contig_1888_segment0	4114513	4359506	0.017705	0.014344	0.009658	0.006490
contig_1888_segment0	4184485	4460717	-0.025222	-0.020122	-0.013002	-0.013024
contig_1888_segment0	4263171	4580540	-0.016360	-0.011949	-0.007797	-0.008319
contig_1888_segment0	4359568	4704151	-0.006646	-0.004936	-0.003209	-0.000998
contig_1888_segment0	4460801	4806794	0.042913	0.031766	0.021107	0.021382
contig_1888_segment0	4580582	4868976	0.041876	0.034881	0.023044	0.020567
contig_1888_segment0	4704193	4957257	0.023378	0.020968	0.013425	0.007685
contig_1888_segment0	4806906	5055779	0.013925	0.012464	0.007823	0.005454
contig_1888_segment0	4869063	5137772	-0.020895	-0.017673	-0.011019	-0.010726
contig_1888_segment0	4957388	5232351	0.010529	0.008240	0.005223	0.003277
contig_1888_segment0	5055792	5324223	-0.009109	-0.007260	-0.004655	-0.008781
contig_1888_segment0	5137780	5400827	0.010753	0.009142	0.005865	0.000637
contig_1888_segment0	5232378	5482839	-0.017231	-0.016400	-0.010260	-0.007752
contig_1888_segment0	5324248	5548640	-0.024707	-0.023732	-0.014760	-0.009593
contig_1888_segment0	5400924	5621712	-0.037773	-0.035406	-0.021686	-0.017951
contig_1888_segment0	5482841	5700387	-0.043071	-0.038609	-0.024251	-0.024977
contig_1888_segment0	5548693	5790969	-0.011804	-0.010198	-0.006557	-0.008268
contig_1888_segment0	5621713	5916790	0.005185	0.004125	0.002677	0.001114
contig_1888_segment0	5700390	6046534	0.080270	0.059406	0.039199	0.043634
contig_1888_segment0	5790974	6147338	0.069236	0.048632	0.032025	0.034647
contig_1888_segment0	5916941	6225573	0.072387	0.054449	0.036576	0.037328
contig_1888_segment0	6046823	6314488	0.013601	0.010970	0.007227	0.009853
contig_1888_segment0	6147339	6413029	0.007757	0.006939	0.004484	0.009755
contig_1888_segment0	6225580	6520310	0.000940	0.000776	0.000505	0.002643
contig_1888_segment0	6314489	6643636	0.016122	0.012483	0.008182	0.009224
contig_1888_segment0	6413368	6786566	-0.004012	-0.002857	-0.001907	-0.000981
contig_1888_segment0	6520313	6892924	-0.000038	-0.000028	-0.000018	0.000323
contig_1888_segment0	6643645	6986001	-0.005918	-0.004464	-0.002882	-0.005700
contig_1888_segment0	6786768	7089847	0.050699	0.037352	0.024649	0.022157
contig_1888_segment0	6893144	7165068	0.052988	0.037897	0.025352	0.024311
