chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig_1888_segment0	60935	924154	-0.009826	-0.015496	-0.008843	-0.006132
contig_1888_segment0	263271	1048516	0.009634	0.015747	0.008672	-0.000745
contig_1888_segment0	350109	1123086	0.004365	0.006540	0.003737	-0.001451
contig_1888_segment0	507503	1311608	0.047601	0.061540	0.035932	0.015687
contig_1888_segment0	741270	1541638	0.092261	0.108458	0.061245	0.038274
contig_1888_segment0	874026	1889340	0.118468	0.129173	0.072379	0.054574
contig_1888_segment0	924156	2061314	0.108414	0.114959	0.062539	0.052009
contig_1888_segment0	1048520	2325418	0.061819	0.061850	0.034055	0.031268
contig_1888_segment0	1124160	2488747	0.053203	0.053879	0.028796	0.028745
contig_1888_segment0	1311711	2675161	0.021494	0.022667	0.011589	0.011653
contig_1888_segment0	1541641	2803959	0.007913	0.008731	0.004488	0.003276
contig_1888_segment0	1889354	2900519	0.001673	0.001931	0.000970	0.001531
contig_1888_segment0	2061334	2992449	0.003735	0.004224	0.002151	0.004689
contig_1888_segment0	2326111	3087995	0.045863	0.053928	0.027204	0.030143
contig_1888_segment0	2488892	3168053	0.047195	0.056290	0.028271	0.030014
contig_1888_segment0	2675162	3234910	0.067956	0.081551	0.041700	0.043371
contig_1888_segment0	2804009	3386442	0.058705	0.070499	0.034958	0.037088
contig_1888_segment0	2900790	3540140	0.049821	0.057979	0.029422	0.032502
contig_1888_segment0	2992451	3731451	0.071725	0.078385	0.041158	0.045052
contig_1888_segment0	3088094	3865980	0.068806	0.074352	0.038629	0.043857
contig_1888_segment0	3168143	3978374	0.130635	0.138841	0.073753	0.085200
contig_1888_segment0	3235099	4112968	0.124727	0.131939	0.068245	0.080657
contig_1888_segment0	3386483	4184311	0.115549	0.125988	0.065629	0.074988
contig_1888_segment0	3540350	4266362	0.107106	0.122436	0.062059	0.064783
contig_1888_segment0	3731457	4370495	0.086150	0.106278	0.051310	0.051997
contig_1888_segment0	3866078	4472405	0.090306	0.109228	0.054294	0.054687
contig_1888_segment0	3978408	4613176	0.032793	0.037787	0.018486	0.019387
contig_1888_segment0	4113091	4744061	0.018328	0.020420	0.010321	0.010599
contig_1888_segment0	4184313	4833060	0.023145	0.024640	0.012586	0.013500
contig_1888_segment0	4266634	4916491	0.034724	0.036483	0.018547	0.020956
contig_1888_segment0	4370497	5010159	0.063316	0.064407	0.033806	0.036220
contig_1888_segment0	4472406	5107909	0.045902	0.047561	0.024520	0.025790
contig_1888_segment0	4613364	5208649	0.050384	0.054343	0.027485	0.028010
contig_1888_segment0	4744490	5316404	0.061471	0.065867	0.033761	0.037662
contig_1888_segment0	4833061	5405612	0.057525	0.063159	0.032342	0.034269
contig_1888_segment0	4916492	5492412	0.021217	0.023570	0.012235	0.012249
contig_1888_segment0	5010237	5560216	0.011619	0.013322	0.006735	0.007713
contig_1888_segment0	5107913	5647426	0.034618	0.039235	0.020042	0.022770
contig_1888_segment0	5208984	5744271	0.028331	0.032178	0.016641	0.018455
contig_1888_segment0	5316558	5870421	0.022505	0.025773	0.013206	0.012082
contig_1888_segment0	5405709	6020519	-0.011345	-0.012912	-0.006468	-0.010169
contig_1888_segment0	5492459	6135785	0.038357	0.041704	0.020917	0.021472
contig_1888_segment0	5560329	6222901	0.027110	0.029105	0.014757	0.013189
contig_1888_segment0	5647590	6313849	0.004711	0.005242	0.002590	-0.002631
contig_1888_segment0	5744282	6427101	0.008738	0.009683	0.004826	0.000664
contig_1888_segment0	5870804	6544718	0.004186	0.004678	0.002298	-0.001246
contig_1888_segment0	6020694	6687246	0.049671	0.055020	0.027149	0.026377
contig_1888_segment0	6136067	6806811	0.041715	0.047663	0.023755	0.022057
contig_1888_segment0	6223453	6919456	0.051735	0.059001	0.029336	0.028708
contig_1888_segment0	6313917	7014069	0.046904	0.053282	0.026180	0.025670
contig_1888_segment0	6427128	7110393	0.050057	0.057972	0.027201	0.028473
contig_1888_segment0	6544772	7181503	0.071023	0.084678	0.039573	0.041204
contig_1888_segment0	6687413	7248915	0.082359	0.099597	0.047809	0.049291
contig_1888_segment0	6806987	7319343	0.063616	0.077877	0.036450	0.037186
contig_1888_segment0	6919482	7387921	0.054469	0.069481	0.031676	0.032998
contig_1888_segment0	7014096	7453417	0.071471	0.090473	0.042234	0.044784
contig_1888_segment0	7110399	7521466	0.088775	0.110352	0.053694	0.055527
contig_1888_segment0	7181554	7578925	0.060804	0.079294	0.036465	0.037931
contig_1888_segment0	7248979	7636025	0.051203	0.068257	0.030500	0.032525
contig_1888_segment0	7319351	7699232	0.063348	0.084249	0.037934	0.040669
contig_1888_segment0	7387924	7758120	0.055902	0.075423	0.033418	0.034673
contig_1888_segment0	7453440	7816706	0.069930	0.093292	0.041623	0.043004
contig_1888_segment0	7521811	7883159	0.055580	0.075319	0.033100	0.034367
contig_1888_segment0	7579005	7953501	0.067134	0.086937	0.039374	0.039524
contig_1888_segment0	7636114	8030018	0.057994	0.073383	0.033483	0.034577
contig_1888_segment0	7699304	8100900	0.047342	0.060275	0.027487	0.025733
contig_1888_segment0	7758148	8168458	0.050086	0.062949	0.029013	0.027286
contig_1888_segment0	7816798	8238617	0.032544	0.041336	0.018875	0.017752
contig_1888_segment0	7883207	8302967	0.025466	0.032195	0.014701	0.013132
contig_1888_segment0	7953506	8372552	0.031126	0.039319	0.018183	0.017183
contig_1888_segment0	8030096	8453408	0.044619	0.056262	0.026384	0.024689
contig_1888_segment0	8101359	8543123	0.050156	0.062132	0.029175	0.029740
contig_1888_segment0	8168460	8620881	0.056666	0.069620	0.033446	0.034358
contig_1888_segment0	8238623	8700433	0.068497	0.084716	0.040538	0.040702
contig_1888_segment0	8303082	8780413	0.088951	0.109670	0.052888	0.054129
contig_1888_segment0	8372640	8899018	0.115048	0.141465	0.068788	0.072458
contig_1888_segment0	8453449	9016743	0.116632	0.143230	0.069313	0.073362
contig_1888_segment0	8543134	9115827	0.128579	0.158351	0.076991	0.081174
contig_1888_segment0	8620882	9267974	0.123510	0.145675	0.071021	0.079696
contig_1888_segment0	8700632	9438428	0.117141	0.132219	0.064915	0.075453
contig_1888_segment0	8780594	9610986	0.116866	0.126802	0.062382	0.076241
contig_1888_segment0	8899394	9754882	0.091081	0.099631	0.049487	0.059705
contig_1888_segment0	9016932	9854705	0.095030	0.104599	0.050837	0.061465
contig_1888_segment0	9115831	9949722	0.086026	0.092680	0.045241	0.056120
contig_1888_segment0	9268006	10045897	0.097904	0.107366	0.052150	0.061760
contig_1888_segment0	9438560	10161293	0.099411	0.111781	0.054754	0.062609
contig_1888_segment0	9611179	10319290	0.094862	0.109180	0.053760	0.059897
contig_1888_segment0	9754898	10477937	0.093551	0.106438	0.051314	0.057973
contig_1888_segment0	9854861	10581833	0.065514	0.073478	0.035917	0.042937
contig_1888_segment0	9949752	10665948	0.065724	0.076167	0.036612	0.041646
contig_1888_segment0	10046108	10749026	0.042605	0.049058	0.023753	0.026935
contig_1888_segment0	10162600	10832107	0.027470	0.031893	0.015099	0.015810
contig_1888_segment0	10319439	10914053	0.015948	0.018675	0.008831	0.008251
contig_1888_segment0	10477938	11037619	-0.002297	-0.002636	-0.001275	-0.002533
contig_1888_segment0	10581940	11499539	-0.005190	-0.005322	-0.002679	-0.005588
contig_1888_segment0	10665955	11615018	-0.007537	-0.008178	-0.004161	-0.007320
contig_235_segment0	5614	93047	0.006652	0.029264	0.013801	0.001713
contig_235_segment0	13636	115951	0.007937	0.032807	0.015493	0.002753
contig_235_segment0	41542	132271	0.004430	0.018338	0.008875	0.001419
contig_235_segment0	57115	144575	-0.001897	-0.008649	-0.003942	0.000084
scaffold_335_segment0	80168	171641	-0.018529	-0.064313	-0.031389	-0.007914
scaffold_335_segment0	93060	306225	-0.016060	-0.045686	-0.024256	-0.006507
